season,rule,judge_save,EMR,EMR_denom,B2CR,B2CR_denom
1,RANK,False,0.6666666666666666,3,,0
2,RANK,False,0.8571428571428571,7,,0
3,PERCENT,False,0.5714285714285714,7,,0
4,PERCENT,False,0.625,8,,0
5,PERCENT,False,0.5555555555555556,9,,0
6,PERCENT,False,0.875,8,,0
7,PERCENT,False,0.375,8,,0
8,PERCENT,False,0.5555555555555556,9,,0
9,PERCENT,False,0.3333333333333333,9,,0
10,PERCENT,False,0.875,8,,0
11,PERCENT,False,0.6666666666666666,9,,0
12,PERCENT,False,0.75,8,,0
13,PERCENT,False,0.6666666666666666,9,,0
14,PERCENT,False,0.625,8,,0
15,PERCENT,False,0.2857142857142857,7,,0
16,PERCENT,False,1.0,8,,0
17,PERCENT,False,0.7777777777777778,9,,0
18,PERCENT,False,0.2857142857142857,7,,0
19,PERCENT,False,0.8,10,,0
20,PERCENT,False,0.375,8,,0
21,PERCENT,False,0.7142857142857143,7,,0
22,PERCENT,False,0.5714285714285714,7,,0
23,PERCENT,False,0.5555555555555556,9,,0
24,PERCENT,False,0.5,8,,0
25,PERCENT,False,0.75,8,,0
26,PERCENT,False,0.0,3,,0
27,PERCENT,False,0.2857142857142857,7,,0
28,RANK,True,,0,0.8571428571428571,7
29,RANK,True,,0,1.0,9
30,RANK,True,,0,0.625,8
31,RANK,True,,0,1.0,9
32,RANK,True,,0,0.8888888888888888,9
33,RANK,True,,0,1.0,6
34,RANK,True,,0,0.875,8
