season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated,uncertainty_width
31,2,365,Cheryl Ladd,Louis van Amstel,21.0,0.0005918845895384613,5918.845895384613,0.050970873786407765,-0.050378989196869305,-0.0020611328555668208,-3.72053708876558,0,0.031956807471360406
31,2,366,Selma Blair,Sasha Farber,28.0,0.05327975281123914,532797.5281123914,0.06796116504854369,-0.014681412237304549,-7.527040284026343e-06,-2.82053708876558,0,0.08576487252605064
31,2,367,Joseph Baena,Daniella Karagach,24.0,0.004373468436192232,43734.684361922315,0.05825242718446602,-0.05387895874827379,-0.002838180675422299,-3.42053708876558,0,0.052815956863135255
31,2,368,Trevor Donovan,Emma Slater,30.0,0.007210630437485759,72106.30437485759,0.07281553398058252,-0.06560490354309675,0.002836544144202171,-3.57053708876558,0,0.04348697952548207
31,2,369,Daniel Durant,Britt Stewart,29.0,0.03231580362192691,323158.0362192691,0.0703883495145631,-0.03807254589263619,-4.565380709149747e-06,-2.97053708876558,0,0.085338681969334
31,2,370,Wayne Brady,Witney Carson,32.0,0.23878328584444422,2387832.858444442,0.07766990291262135,0.16111338293182287,-3.3733854172907085e-05,-2.3705370887655803,0,2.7755575615628914e-17
31,2,371,Sam Champion,Cheryl Burke,26.0,0.0026526426958360535,26526.426958360535,0.06310679611650485,-0.0604541534206688,0.0010435062746272214,-3.8705370887655803,0,0.026130132604433937
31,2,372,Jessie James Decker,Alan Bersten,25.0,0.0016089091242873401,16089.091242873401,0.06067961165048544,-0.059070702526198095,0.0006329185491639213,-4.020537088765581,0,0.01862467297737956
31,2,373,Jordin Sparks,Brandon Armstrong,27.0,0.019600525689951236,196005.25689951234,0.06553398058252427,-0.045933454892573035,-2.7690433733636166e-06,-3.1205370887655803,0,0.03185200767382303
31,2,374,Heidi D'Amelio,Artem Chigvintsev,28.0,0.01188831977744054,118883.1977744054,0.06796116504854369,-0.05607284527110315,-1.679509704017798e-06,-3.27053708876558,0,0.052920756660672634
