season,judge_save,weeks,entropy_mean,entropy_mean_amei,entropy_mean_cbr,entropy_mean_cbp,fairness_loss_mean_amei,fairness_loss_mean_cbr,fairness_loss_mean_cbp,excitement_loss_mean_amei,excitement_loss_mean_cbr,excitement_loss_mean_cbp,interception_mean_amei,interception_mean_cbr,interception_mean_cbp,emr_amei,emr_cbr,emr_cbp,b2cr_amei,b2cr_cbr,b2cr_cbp
1,False,6,1.278147312022664,1.278147312022664,0.5974937842432686,1.9316804397248994,27.914342925897742,45.29305555555556,45.29305555555556,0.11084988758870402,1.0833333333333333,0.0950342409381541,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,,,
2,False,8,1.5349562092539812,1.5349562092539812,0.25000007764594967,2.4569076256128923,47.84021791584565,105.81100145623014,105.81100145623014,0.0799380279947244,1.25,0.04090725311689969,,,,0.375,0.75,0.625,,,
3,False,10,1.6279676481899088,1.6279676481899088,0.30000007560706893,2.411236079685522,32.907164872407165,46.548896103896105,46.548896103896105,0.07762066280841318,1.3,0.10064746046780124,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.3,0.5,,,
4,False,10,1.9644685345974342,1.9644685345974342,0.3584963351620286,2.6710441391947137,65.2087891059553,88.15621226077634,88.15621226077634,0.05641654832425923,1.2,0.023757156465319763,,,,0.3,0.5,0.4,,,
5,False,10,2.034026236067211,2.034026236067211,0.5584963197645526,2.701587255861607,32.67047381898015,49.70667296873593,49.70667296873593,0.04078550780211921,0.8,0.018360492635133167,1.0,1.0,0.0,0.3,0.3,0.7,,,
6,False,10,2.1312799094177826,2.1312799094177826,0.2584963253444851,2.6884568186852227,51.3078972258095,65.15369047619046,65.15369047619046,0.029856388639456166,1.55,0.00894652008489711,1.0,0.0,1.0,0.5,0.7,0.7,,,
7,False,10,2.008433883276351,2.008433883276351,0.20000007745419918,2.672699701128884,38.77442601123969,61.46834346209346,61.46834346209346,0.017243427254642008,1.55,0.014947989286949737,1.0,0.0,1.0,0.4,0.7,0.4,,,
8,False,11,2.041589152830205,2.041589152830205,0.09090918353835135,2.796088636686254,80.55205476264439,121.01518065268066,121.01518065268066,0.04483709840999494,1.7272727272727273,0.019327269049562022,,,,0.36363636363636365,0.5454545454545454,0.5454545454545454,,,
9,False,10,2.547815832195334,2.547815832195334,0.5169925774095016,2.919658968977367,116.09195317988932,126.1572928562982,126.1572928562982,0.035292878987107625,0.9,0.009218764098075396,,,,0.2,0.9,0.4,,,
10,False,10,2.1897699691757966,2.1897699691757966,0.4000000701125376,2.6563709877060706,68.42319882000879,86.8227562659365,86.8227562659365,0.014410066722197329,1.15,0.0063727809908826925,1.0,0.0,1.0,0.5,0.5,0.6,,,
