z_soft_q,z_hard_q,b2cr,emr,entropy_mean,fairness_loss_mean,excitement_loss_mean,interception_mean,weeks_js,weeks_nojs,w_start,w_end,logistic_k,logistic_t0,min_vote_weight,tradeoff_score,emr_cbr_baseline,emr_cbp_baseline,b2cr_cbr_baseline,b2cr_cbp_baseline,emr_min_cbr,emr_min_cbp,b2cr_min_cbr,b2cr_min_cbp,emr_feasible,b2cr_feasible,constraint_feasible,penalty_emr,penalty_b2cr,penalty_total,feasible
0.2,0.05,0.589041095890411,,1.8388309324304584,50.51096626357546,0.030421491777228415,0.3333333333333333,73,0,0.55,0.2,4.0,0.4,0.03,0.3606022286610505,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.8937605543203653,51.50748687964918,0.02968341688552229,0.3333333333333333,73,0,0.55,0.2,4.0,0.4,0.06,0.4614225365419876,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.9532520128663005,52.84355278973106,0.028717725153265924,0.3333333333333333,73,0,0.55,0.2,4.0,0.4,0.1,0.6002428006603878,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.8652928658519852,50.51096626357546,0.03057910767768989,0.3333333333333333,73,0,0.55,0.2,4.0,0.5,0.03,0.3846881481237285,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.9168744521737433,51.50748687964918,0.029858542690629063,0.3333333333333333,73,0,0.55,0.2,4.0,0.5,0.06,0.48818421493413233,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.972789439483655,52.84355278973106,0.028915789468893185,0.3333333333333333,73,0,0.55,0.2,4.0,0.5,0.1,0.6305098050721327,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.5753424657534246,,1.8911176597646921,50.51096626357546,0.030726006786202534,0.3333333333333333,73,0,0.55,0.2,4.0,0.6,0.03,0.40713639152058984,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5753424657534246,,1.939304362721298,51.50748687964918,0.03002761621538844,0.3333333333333333,73,0,0.55,0.2,4.0,0.6,0.06,0.514021020032491,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5753424657534246,,1.991597329435512,52.84355278973106,0.029113897894473814,0.3333333333333333,73,0,0.55,0.2,4.0,0.6,0.1,0.660783550103201,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.6164383561643836,,1.818387408186651,50.51096626357546,0.030179869392728955,0.3333333333333333,73,0,0.55,0.2,8.0,0.4,0.03,0.32367894061463515,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.8779956389266137,51.50748687964918,0.029415511261095276,0.3333333333333333,73,0,0.55,0.2,8.0,0.4,0.06,0.42048280092740276,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.9421748801080607,52.84355278973106,0.028415114978832454,0.3333333333333333,73,0,0.55,0.2,8.0,0.4,0.1,0.5539997232256151,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.8527787521123535,50.51096626357546,0.030588223424091194,0.3333333333333333,73,0,0.55,0.2,8.0,0.5,0.03,0.3860811619822359,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.9083765463301399,51.50748687964918,0.029834918316314102,0.3333333333333333,73,0,0.55,0.2,8.0,0.5,0.06,0.48457407931050356,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6027397260273972,,1.9681847616235948,52.84355278973106,0.028848651363268616,0.3333333333333333,73,0,0.55,0.2,8.0,0.5,0.1,0.6202501612150374,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.5753424657534246,,1.8873467352229247,50.51096626357546,0.030782388899378812,0.3333333333333333,73,0,0.55,0.2,8.0,0.6,0.03,0.41575236892593637,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5753424657534246,,1.938411607518165,51.50748687964918,0.03004750359164194,0.3333333333333333,73,0,0.55,0.2,8.0,0.6,0.06,0.5170600899573102,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5753424657534246,,1.9933308758391557,52.84355278973106,0.029085874660543316,0.3333333333333333,73,0,0.55,0.2,8.0,0.6,0.1,0.6565012070555925,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.6164383561643836,,1.8099881276563032,50.51096626357546,0.030043407539559336,0.3333333333333333,73,0,0.55,0.2,12.0,0.4,0.03,0.3028256561709468,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.8714500269248835,51.50748687964918,0.029272178753696823,0.3333333333333333,73,0,0.55,0.2,12.0,0.4,0.06,0.39857958418673756,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.937529609360824,52.84355278973106,0.028262748309617912,0.3333333333333333,73,0,0.55,0.2,12.0,0.4,0.1,0.5307159598949291,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.8461395098272837,50.51096626357546,0.030546694822179234,0.3333333333333333,73,0,0.55,0.2,12.0,0.5,0.03,0.3797350093534688,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.9036932204213934,51.50748687964918,0.029782738849225485,0.3333333333333333,73,0,0.55,0.2,12.0,0.5,0.06,0.47660032515104256,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.9654489801519972,52.84355278973106,0.02878295439875248,0.3333333333333333,73,0,0.55,0.2,12.0,0.5,0.1,0.6102107439249977,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.5616438356164384,,1.8830239596763507,50.51096626357546,0.030794635637590828,0.3333333333333333,73,0,0.55,0.2,12.0,0.6,0.03,0.41762384223155774,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.5616438356164384,,1.9358237808174967,51.50748687964918,0.03004349758135309,0.3333333333333333,73,0,0.55,0.2,12.0,0.6,0.06,0.5164479154184382,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.5616438356164384,,1.9923746906712385,52.84355278973106,0.029060648601629917,0.3333333333333333,73,0,0.55,0.2,12.0,0.6,0.1,0.6526463115687162,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.6164383561643836,,1.8058841858082195,50.51096626357546,0.029965125258487282,0.3333333333333333,73,0,0.55,0.2,16.0,0.4,0.03,0.2908630260572607,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.8682077702157849,51.50748687964918,0.029192150642395474,0.3333333333333333,73,0,0.55,0.2,16.0,0.4,0.06,0.3863501667363982,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6164383561643836,,1.935180681956019,52.84355278973106,0.028180411150759033,0.3333333333333333,73,0,0.55,0.2,16.0,0.4,0.1,0.5181336876035278,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.06438356164383552,,False
0.2,0.05,0.6027397260273972,,1.842490415725147,50.51096626357546,0.030512264033797,0.3333333333333333,73,0,0.55,0.2,16.0,0.5,0.03,0.3744735021477687,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.6027397260273972,,1.9010687282816383,51.50748687964918,0.02974530267927196,0.3333333333333333,73,0,0.55,0.2,16.0,0.5,0.06,0.47087955350394517,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.6027397260273972,,1.963868581827126,52.84355278973106,0.02874156439047449,0.3333333333333333,73,0,0.55,0.2,16.0,0.5,0.1,0.6038857703466699,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.5616438356164384,,1.8800028181598671,50.51096626357546,0.03081311898132506,0.3333333333333333,73,0,0.55,0.2,16.0,0.6,0.03,0.42044835630203065,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.5616438356164384,,1.9337908304032516,51.50748687964918,0.03005622770383804,0.3333333333333333,73,0,0.55,0.2,16.0,0.6,0.06,0.5183932566183098,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.5616438356164384,,1.991305150563403,52.84355278973106,0.029065854238512514,0.3333333333333333,73,0,0.55,0.2,16.0,0.6,0.1,0.6534418058706175,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.589041095890411,,1.8711160016361124,50.51096626357546,0.030588967491723892,0.3333333333333333,73,0,0.55,0.25,4.0,0.4,0.03,0.3861948659487995,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.921041950596378,51.50748687964918,0.029889475631180416,0.3333333333333333,73,0,0.55,0.25,4.0,0.4,0.06,0.4929112019492895,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
0.2,0.05,0.589041095890411,,1.9753656969938789,52.84355278973106,0.02897420085727429,0.3333333333333333,73,0,0.55,0.25,4.0,0.4,0.1,0.6394358841804668,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.11917808219178072,,False
