metric,method,group,mean,ci_low,ci_high
EMR,AMEI,No Judge Save,0.3473282442748092,0.29389312977099236,0.40458015267175573
B2CR,AMEI,Judge Save,0.5205479452054794,0.410958904109589,0.6301369863013698
Interception,AMEI,All Weeks,0.5714285714285714,0.3333333333333333,0.7619047619047619
EMR,CBR,No Judge Save,0.5038167938931297,0.44274809160305345,0.5610687022900763
B2CR,CBR,Judge Save,0.6986301369863014,0.589041095890411,0.7945205479452054
Interception,CBR,All Weeks,0.09523809523809523,0.0,0.23809523809523808
EMR,CBP,No Judge Save,0.5076335877862596,0.44274809160305345,0.5687022900763359
B2CR,CBP,Judge Save,0.6986301369863014,0.589041095890411,0.7945205479452054
Interception,CBP,All Weeks,0.19047619047619047,0.047619047619047616,0.38095238095238093
