metric,group,compare,mean_diff,ci_low,ci_high
EMR,No Judge Save,AMEI-CBR,-0.15648854961832062,-0.2099236641221374,-0.09923664122137404
EMR,No Judge Save,AMEI-CBP,-0.16030534351145037,-0.20610687022900764,-0.1183206106870229
B2CR,Judge Save,AMEI-CBR,-0.1780821917808219,-0.273972602739726,-0.0958904109589041
B2CR,Judge Save,AMEI-CBP,-0.1780821917808219,-0.2602739726027397,-0.0958904109589041
JS_EMR,Judge Save,AMEI-CBR,-0.017857142857142856,-0.05357142857142857,0.0
JS_EMR,Judge Save,AMEI-CBP,-0.017857142857142856,-0.05357142857142857,0.0
Interception,All Weeks,AMEI-CBR,0.47619047619047616,0.2857142857142857,0.6678571428571417
Interception,All Weeks,AMEI-CBP,0.38095238095238093,0.19047619047619047,0.5714285714285714
