z_soft_q,z_hard_q,b2cr,emr,entropy_mean,fairness_loss_mean,excitement_loss_mean,interception_mean,weeks_js,weeks_nojs
0.1,0.01,0.5342465753424658,0.3473282442748092,1.9931981073073635,53.763790997883696,0.04602456917863508,0.5714285714285714,73,262
0.1,0.03,0.5342465753424658,0.3473282442748092,1.9932110957903941,53.66651377802178,0.04599769967406534,0.5714285714285714,73,262
0.1,0.06,0.5342465753424658,0.3473282442748092,1.993227939836676,53.35374042212643,0.04590959054511459,0.5714285714285714,73,262
0.1,0.08,0.5342465753424658,0.3473282442748092,1.993123845718355,52.78690519700924,0.04569406598112237,0.5714285714285714,73,262
0.15,0.01,0.5342465753424658,0.3473282442748092,1.988259213716564,50.70406338061825,0.045364635015404976,0.5714285714285714,73,262
0.15,0.03,0.5342465753424658,0.3473282442748092,1.9884404480713131,50.43677821433339,0.04524145329750172,0.5714285714285714,73,262
0.15,0.06,0.5342465753424658,0.3473282442748092,1.9888882357777122,49.805330120038164,0.044939350357712106,0.5714285714285714,73,262
0.15,0.08,0.5342465753424658,0.3473282442748092,1.9895444806244256,49.07694885452777,0.044534595968126874,0.5714285714285714,73,262
0.15,0.1,0.5342465753424658,0.3473282442748092,1.9913113144708052,48.1952877591501,0.043953922885327325,0.5714285714285714,73,262
0.2,0.01,0.5342465753424658,0.3473282442748092,1.986422840633465,49.03363760481408,0.04457218309417019,0.5714285714285714,73,262
0.2,0.03,0.5342465753424658,0.3473282442748092,1.9868549841106706,48.69852853847133,0.04438186097112881,0.5714285714285714,73,262
0.2,0.06,0.5342465753424658,0.3473282442748092,1.987812492106143,47.95331598132355,0.043961013078669633,0.5714285714285714,73,262
0.2,0.08,0.5342465753424658,0.3473282442748092,1.9888042312546226,47.144050068548765,0.04347602276337314,0.5714285714285714,73,262
0.2,0.1,0.5205479452054794,0.3473282442748092,1.9908036625223973,46.36294295686374,0.04291055888039164,0.6190476190476191,73,262
0.25,0.01,0.5205479452054794,0.3473282442748092,1.9877125192828873,47.61386613176708,0.04357246265865853,0.6190476190476191,73,262
0.25,0.03,0.5205479452054794,0.3473282442748092,1.9883941115618864,47.22147420282713,0.04332178317729512,0.6190476190476191,73,262
0.25,0.06,0.5205479452054794,0.3473282442748092,1.9898403317733537,46.39152782682828,0.042796255572652986,0.6190476190476191,73,262
0.25,0.08,0.5205479452054794,0.3473282442748092,1.9913140298109837,45.578024120970184,0.0422349479359614,0.6666666666666666,73,262
0.25,0.1,0.5205479452054794,0.3473282442748092,1.9945313429540368,44.815360966011845,0.04154590449648442,0.6666666666666666,73,262
0.3,0.01,0.5205479452054794,0.3473282442748092,1.9870518437660325,46.14108019124774,0.042482026408819484,0.6190476190476191,73,262
0.3,0.03,0.5205479452054794,0.3473282442748092,1.9879150821431353,45.68514340716022,0.042178967154115954,0.6190476190476191,73,262
0.3,0.06,0.5205479452054794,0.3473282442748092,1.9896779239370779,44.74304418721042,0.041567287165609625,0.6190476190476191,73,262
0.3,0.08,0.5205479452054794,0.3473282442748092,1.9913784822476501,43.82797180079171,0.04094618276186099,0.6666666666666666,73,262
0.3,0.1,0.5205479452054794,0.3473282442748092,1.9946085710713766,43.01431341468192,0.04022300842526663,0.6666666666666666,73,262
