z_soft_q,z_hard_q,b2cr,emr,entropy_mean,fairness_loss_mean,excitement_loss_mean,interception_mean,weeks_js,weeks_nojs,w_start,w_end,logistic_k,logistic_t0,min_vote_weight,tradeoff_score,emr_cbr_baseline,emr_cbp_baseline,b2cr_cbr_baseline,b2cr_cbp_baseline,emr_min_cbr,emr_min_cbp,b2cr_min_cbr,b2cr_min_cbp,emr_feasible,b2cr_feasible,constraint_feasible,penalty_emr,penalty_b2cr,penalty_total,feasible
0.2,0.05,0.589041095890411,0.3473282442748092,1.7711613020360533,48.24905055846112,0.04745790386979771,0.5714285714285714,73,262,0.55,0.2,4.0,0.4,0.03,0.5,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.11917808219178072,0.33597197532155165,False
0.2,0.05,0.589041095890411,0.3473282442748092,1.8780761481517287,49.10035905539652,0.04608077455248715,0.5714285714285714,73,262,0.55,0.2,4.0,0.4,0.06,0.5779611885798068,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.11917808219178072,0.33597197532155165,False
0.2,0.05,0.589041095890411,0.3511450381679389,1.9856225705574895,50.23704343381229,0.04428166970338571,0.5714285714285714,73,262,0.55,0.2,4.0,0.4,0.1,0.6859781868519639,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.2091603053435115,0.11917808219178072,0.3283383875352922,False
0.2,0.05,0.589041095890411,0.3473282442748092,1.7939812712658452,48.24905055846112,0.047271281842284754,0.5714285714285714,73,262,0.55,0.2,4.0,0.5,0.03,0.4815494121709605,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.11917808219178072,0.33597197532155165,False
0.2,0.05,0.589041095890411,0.3473282442748092,1.894176073981493,49.10035905539652,0.0459333508284528,0.5714285714285714,73,262,0.55,0.2,4.0,0.5,0.06,0.5633859832590355,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.11917808219178072,0.33597197532155165,False
0.2,0.05,0.589041095890411,0.3511450381679389,1.995679077545454,50.23704343381229,0.044183113936051475,0.5714285714285714,73,262,0.55,0.2,4.0,0.5,0.1,0.6762343647239328,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.2091603053435115,0.11917808219178072,0.3283383875352922,False
0.2,0.05,0.5753424657534246,0.3473282442748092,1.8153213950703329,48.24905055846112,0.047056900334338944,0.5714285714285714,73,262,0.55,0.2,4.0,0.6,0.03,0.4603543533990182,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.14657534246575343,0.36336923559552436,False
0.2,0.05,0.5753424657534246,0.3473282442748092,1.9093771439783676,49.10035905539652,0.0457648771789697,0.5714285714285714,73,262,0.55,0.2,4.0,0.6,0.06,0.5467296543781863,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.14657534246575343,0.36336923559552436,False
0.2,0.05,0.5753424657534246,0.3511450381679389,2.005250605207127,50.23704343381229,0.044076157300551484,0.5714285714285714,73,262,0.55,0.2,4.0,0.6,0.1,0.6656599817130411,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.2091603053435115,0.14657534246575343,0.3557356478092649,False
0.2,0.05,0.6164383561643836,0.3473282442748092,1.7614860980589129,48.24905055846112,0.04740153700895441,0.5714285714285714,73,262,0.55,0.2,8.0,0.4,0.03,0.4944272295693262,0.5038167938931297,0.5076335877862596,0.6986301369863014,0.6986301369863014,0.45381679389312973,0.45763358778625957,0.6486301369863013,0.6486301369863013,False,False,False,0.21679389312977093,0.06438356164383552,0.28117745477360645,False
