season,week,contestant_id,celebrity_name,J_total,p_hat,z_score,kappa,tie_break,w_j,w_f,merit_score,pop_score,amei_score,amei_rank,bottom2_flag,eliminated
27,1,309,Juan Pablo Di Pace,22.0,0.0990839491560404,0.67449999966275,1.0,-12.145066271600907,0.7750481910518233,0.22495180894817668,0.1277817087399708,0.10636037606274064,0.12296294120414719,3,0,0
27,1,310,Evanna Lynch,18.0,0.0540368375558221,-0.67449999966275,1.0,-7.29633258539675,0.7750481910518233,0.22495180894817668,0.03315930623397705,0.05800514021324807,0.03874842153244014,10,0,0
27,1,311,Nancy McKeon,19.5,0.0606634099265203,-0.1686249999156875,1.0,-3.954751844272531,0.7750481910518233,0.22495180894817668,0.05499258775290224,0.06511834810774246,0.05727039586169928,8,0,0
27,1,312,John Schneider,18.0,0.054036837555822,-0.67449999966275,1.0,-9.578531195017735,0.7750481910518233,0.22495180894817668,0.03315930623397705,0.05800514021324795,0.03874842153244012,11,0,0
27,1,313,Milo Manheim,20.0,0.0644157760054435,0.0,1.0,-8.979437469938382,0.7750481910518233,0.22495180894817668,0.06509341603579853,0.06914627665397777,0.06600511436327278,6,0,0
27,1,314,Danelle Umstead,18.0,0.054040954437556,-0.67449999966275,1.0,-2.851607192236335,0.7750481910518233,0.22495180894817668,0.03315930623397705,0.0580095594263815,0.03874941564242863,9,0,0
27,1,315,Mary Lou Retton,20.0,0.0644157760054435,0.0,1.0,-6.759137052862143,0.7750481910518233,0.22495180894817668,0.06509341603579853,0.06914627665397777,0.06600511436327278,6,0,0
27,1,316,DeMarcus Ware,23.0,0.1413600467725277,1.0117499994941248,1.0,-2.8872163743223354,0.7750481910518233,0.22495180894817668,0.1790335838347803,0.15174110300443225,0.17289409090131008,1,0,0
27,1,317,Nikki Glaser,17.5,0.0446814013239568,-0.8431249995784375,0.7368421052631579,-7.643326094275486,0.7750481910518233,0.22495180894817668,0.02801383256479407,0.035340913934872896,0.029662072773303787,12,1,1
27,1,318,Bobby Bones,20.0,0.0644157760054437,0.0,1.0,-1.564298061278759,0.7750481910518233,0.22495180894817668,0.06509341603579853,0.06914627665397798,0.06600511436327282,5,0,0
27,1,319,Tinashe,23.0,0.1413594159040195,1.0117499994941248,1.0,-5.190464923387159,0.7750481910518233,0.22495180894817668,0.1790335838347803,0.1517404258068402,0.17289393856448673,2,0,0
27,1,320,Alexis Ren,22.0,0.0990829278313688,0.67449999966275,1.0,-11.609213616169008,0.7750481910518233,0.22495180894817668,0.1277817087399708,0.10635927973506014,0.12296269458325226,4,0,0
27,1,321,Joe Amabile,14.0,0.0584068915200353,-2.0234999989882496,0.03,-2.378884141278391,0.7750481910518233,0.22495180894817668,0.008604827723474697,0.0018808835335005244,0.0070922643146734245,13,1,0
27,2,309,Juan Pablo Di Pace,26.0,0.1346791263387966,0.6744999997547273,1.0,-3.5,0.7609674576911007,0.23903254230889925,0.15618610205564765,0.14664480818752038,0.15390542232543286,2,0,0
27,2,310,Evanna Lynch,24.0,0.0506571249370235,0.18395454538765288,1.0,-10.0,0.7609674576911007,0.23903254230889925,0.09563155164783536,0.055157800408014164,0.08595700799220295,6,0,0
27,2,311,Nancy McKeon,20.5,0.0465401855275582,-0.6744999997547273,1.0,-8.0,0.7609674576911007,0.23903254230889925,0.04053023580347287,0.05067508800533675,0.042955185616632426,9,0,0
27,2,312,John Schneider,21.5,0.0459199462910073,-0.42922727257119003,1.0,-10.0,0.7609674576911007,0.23903254230889925,0.051796417456650326,0.04999974308480633,0.05136695381384721,8,0,0
27,2,313,Milo Manheim,26.0,0.0735625486115095,0.6744999997547273,1.0,-6.0,0.7609674576911007,0.23903254230889925,0.15618610205564765,0.08009827598512133,0.13799863555125239,3,0,0
27,2,314,Danelle Umstead,18.5,0.0426294346963601,-1.1650454541218016,0.2727272727272729,-10.0,0.7609674576911007,0.23903254230889925,0.024816352335611722,0.01265914995846081,0.021910385344037546,11,1,1
27,2,315,Mary Lou Retton,23.0,0.0521015423735798,-0.061318181795884295,1.0,-6.0,0.7609674576911007,0.23903254230889925,0.07483083828688837,0.05673054834367917,0.07050427996523487,7,0,0
27,2,316,DeMarcus Ware,23.5,0.1182126061616958,0.061318181795884295,1.0,-1.5,0.7609674576911007,0.23903254230889925,0.0845942620777756,0.1287153059808278,0.09514062737124473,5,0,0
27,2,318,Bobby Bones,19.5,0.0466671670806943,-0.9197727269382644,0.8787878787878787,-6.0,0.7609674576911007,0.23903254230889925,0.03171454890021941,0.04465415724069958,0.03480753637832582,10,0,0
27,2,319,Tinashe,26.0,0.2519081021603354,0.6744999997547273,1.0,-1.5,0.7609674576911007,0.23903254230889925,0.15618610205564765,0.2742890923516719,0.1844165600803896,1,0,0
27,2,320,Alexis Ren,24.5,0.0907959234540989,0.3065909089794215,1.0,-3.5,0.7609674576911007,0.23903254230889925,0.10810891242439548,0.09886276471411573,0.1058987822306437,4,0,0
27,2,321,Joe Amabile,17.5,0.0463262923673398,-1.410318181305339,0.03,-13.0,0.7609674576911007,0.23903254230889925,0.019418574900208044,0.0015132657397460148,0.015138623330755984,12,1,0
27,3,309,Juan Pablo Di Pace,30.0,0.2583407858842272,1.3489999993255,1.0,-2.0,0.7406551665675746,0.2593448334324254,0.33679507420276045,0.2763438392339702,0.3211173587389951,1,0,0
27,3,310,Evanna Lynch,27.0,0.0497972012743023,0.337249999831375,1.0,-5.0,0.7406551665675746,0.2593448334324254,0.12245267851041576,0.053267430212952785,0.10450984181472923,4,0,0
27,3,311,Nancy McKeon,22.0,0.0351980487081625,-1.3489999993255,1.0,-9.0,0.7406551665675746,0.2593448334324254,0.022679799951079382,0.03765090316755814,0.026562478221056715,9,0,1
27,3,312,John Schneider,21.0,0.0417196090403056,-1.686249999156875,0.6000000000000001,-8.0,0.7406551665675746,0.2593448334324254,0.01618726235354862,0.026776159778436733,0.018933438192439263,10,1,0
27,3,313,Milo Manheim,27.0,0.0614989740556783,0.337249999831375,1.0,-2.0,0.7406551665675746,0.2593448334324254,0.12245267851041576,0.06578466710677477,0.10775612253199171,3,0,0
27,3,315,Mary Lou Retton,24.0,0.0447645127199188,-0.67449999966275,1.0,-7.0,0.7406551665675746,0.2593448334324254,0.04452160860686465,0.0478840275418374,0.04539363458548519,7,0,0
27,3,316,DeMarcus Ware,26.0,0.0872388683172963,0.0,1.0,-6.0,0.7406551665675746,0.2593448334324254,0.0873981973923235,0.09331830325867377,0.08893354626213443,5,0,0
27,3,318,Bobby Bones,23.0,0.042795486604024,-1.0117499994941248,1.0,-10.0,0.7406551665675746,0.2593448334324254,0.031776424857179034,0.04577778545328787,0.035407605388804206,8,0,0
