term,coef
Intercept,20.369116039210642
C(region)[T.Midwest],2.0598518280755087
C(region)[T.Northeast],2.03001831970159
C(region)[T.Other],2.063806938088836
C(region)[T.South],2.2664775467679563
C(region)[T.West],1.9227716520521545
C(season)[T.2],0.5572226027239741
C(season)[T.3],0.34252924642363564
C(season)[T.4],-1.0486287030149002
C(season)[T.5],0.48136205729317294
C(season)[T.6],-0.1576491591164597
C(season)[T.7],-0.9088504276852368
C(season)[T.8],-1.5776368877402176
C(season)[T.9],0.34898284075043184
C(season)[T.10],-1.6664348671543303
C(season)[T.11],-0.22608645431506005
C(season)[T.12],-0.07394851517936422
C(season)[T.13],-1.1187920136410583
C(season)[T.14],1.463974987183115
C(season)[T.15],2.9160132969007906
C(season)[T.16],-2.0063182222697384
C(season)[T.17],0.4632940006101529
C(season)[T.18],6.783384668454062
C(season)[T.19],7.625908996204774
C(season)[T.20],7.5167618419588615
C(season)[T.21],1.729597950923238
C(season)[T.22],0.8674315605663472
C(season)[T.23],4.532020442111589
C(season)[T.24],7.2507577955022375
C(season)[T.25],0.6884612605277314
C(season)[T.26],7.776326832982267
C(season)[T.27],0.15112121844753357
C(season)[T.28],-0.8369370684231593
C(season)[T.29],-1.1260379136825098
C(season)[T.30],6.546056288042022
C(season)[T.31],8.203850353765878
C(season)[T.32],2.2671219499299915
C(season)[T.33],2.49547205861792
C(season)[T.34],2.154618887408335
celebrity_age_during_season,-0.10842819948334931
week,1.1249705678651403
