model_id,fold,elpd,n_test
M0,1,795.385957898708,982
M0,2,1070.2148681248402,916
M0,3,851.4037958476775,870
M3,1,798.5667394078777,982
M3,2,1038.6433796103925,916
M3,3,834.3701080731755,870
