,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|ballroom_partner[Daniella Karagach],-0.132,0.148,-0.422,0.16,0.001,0.001,11179.0,8864.0,1.0
1|ballroom_partner[Daniella Karagach (Rumer Willis week 9)],-0.097,0.23,-0.549,0.344,0.002,0.002,17218.0,9380.0,1.0
1|ballroom_partner[Derek Hough],0.681,0.088,0.51,0.856,0.001,0.001,4489.0,7843.0,1.0
1|ballroom_partner[Dmitry Chaplin],0.927,0.188,0.549,1.284,0.002,0.002,10771.0,8934.0,1.0
1|ballroom_partner[Edyta Sliwinska],-0.308,0.132,-0.563,-0.045,0.001,0.001,9229.0,8431.0,1.0
1|ballroom_partner[Elena Grinenko],-0.089,0.259,-0.606,0.403,0.002,0.003,21156.0,8746.0,1.0
1|ballroom_partner[Emma Slater],0.012,0.109,-0.201,0.227,0.001,0.001,7142.0,7687.0,1.0
1|ballroom_partner[Emma Slater/Kaitlyn Bristowe (week 9)],-0.504,0.251,-0.997,-0.018,0.002,0.002,13047.0,9486.0,1.0
1|ballroom_partner[Ezra Sosa],-0.36,0.29,-0.93,0.209,0.002,0.003,18536.0,8778.0,1.0
1|ballroom_partner[Ezra Sosa (Apolo Anton Ohno week 9)],-0.051,0.231,-0.523,0.389,0.002,0.002,21742.0,8817.0,1.0
1|ballroom_partner[Fabian Sanchez],-0.005,0.266,-0.543,0.491,0.002,0.003,18959.0,9016.0,1.0
1|ballroom_partner[Gleb Savchenko],-0.252,0.122,-0.491,-0.017,0.001,0.001,7588.0,8439.0,1.0
1|ballroom_partner[Henry Byalikov],0.065,0.35,-0.62,0.758,0.002,0.004,23441.0,7979.0,1.0
1|ballroom_partner[Inna Brayer],0.011,0.336,-0.638,0.694,0.002,0.004,23576.0,8768.0,1.0
1|ballroom_partner[Jan Ravnik],-0.331,0.255,-0.836,0.155,0.002,0.003,17955.0,8779.0,1.0
1|ballroom_partner[Jenna Johnson],0.63,0.128,0.369,0.869,0.001,0.001,8395.0,8539.0,1.0
1|ballroom_partner[Jesse DeSoto],-0.018,0.307,-0.637,0.558,0.002,0.003,18114.0,8765.0,1.0
1|ballroom_partner[Jonathan Roberts],-0.051,0.169,-0.391,0.266,0.002,0.002,11150.0,8897.0,1.0
1|ballroom_partner[Julianne Hough],-0.267,0.145,-0.553,0.016,0.001,0.001,10175.0,8055.0,1.0
1|ballroom_partner[Karina Smirnoff],0.165,0.1,-0.03,0.361,0.001,0.001,6383.0,7761.0,1.0
1|ballroom_partner[Keo Motsepe],-0.177,0.155,-0.495,0.114,0.002,0.001,9783.0,8591.0,1.0
1|ballroom_partner[Koko Iwasaki],-0.614,0.238,-1.086,-0.153,0.002,0.002,13372.0,8474.0,1.0
1|ballroom_partner[Kym Herjavec],0.066,0.288,-0.482,0.655,0.002,0.003,23091.0,9168.0,1.0
1|ballroom_partner[Kym Johnson],0.182,0.107,-0.029,0.388,0.001,0.001,6695.0,8395.0,1.0
1|ballroom_partner[Lacey Schwimmer],-0.321,0.149,-0.614,-0.031,0.001,0.001,11327.0,9383.0,1.0
