covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
J_z,-0.4044106439221528,0.6673700135525545,0.04400043138540616,-0.4906499047417747,-0.3181713831025309,0.6122283747372718,0.7274781002763321,0.0,-9.191060887104978,3.8898582657610064e-20,64.478844308862
p_hat_z,-0.2558489356048063,0.7742589229141374,0.0515340612052727,-0.3568538395442236,-0.15484403166538901,0.6998747842767614,0.8565487615497526,0.0,-4.964656959320512,6.882260740740729e-07,20.470614113280533
age_z,0.14545302991045725,1.156563409419468,0.043975227851076985,0.059263167110403636,0.23164289271051086,1.0610544386312921,1.2606694541832104,0.0,3.3076128770278785,0.0009409478297393246,10.053597643697499
region_Midwest,0.0467230210004138,1.0478317414950047,0.1274872478651038,-0.20314739330332054,0.2965934353041481,0.8161579363454768,1.3452682496733026,0.0,0.36649172197875146,0.713998188499223,0.486007680922207
region_Northeast,0.04947025989215651,1.0507143433922699,0.11492041764104487,-0.17576961977259292,0.27471013955690593,0.8388112065953374,1.31614912000436,0.0,0.4304740698617837,0.666850825037903,0.5845640292016409
region_South,-0.14637729637934696,0.8638317211118414,0.10022922278540501,-0.34282296323718214,0.05006837047848822,0.7097638547333573,1.0513429747410554,0.0,-1.460425336159165,0.14417321377755454,2.79412494653587
region_Unknown,0.07829554007630345,1.081442220962526,0.7679696270074731,-1.4268972700790026,1.5834883502316095,0.240052586294913,4.871921170820332,0.0,0.10195134979673039,0.9187952910237039,0.12218463220086725
region_West,0.03334180418614893,1.0339038715240012,0.1090221718559641,-0.18033772616787702,0.24702133454017489,0.8349881664332958,1.2802064251023293,0.0,0.3058259032868914,0.7597372048327213,0.39642762218464045
industry_consolidated_Athlete,-0.05587117420367073,0.945660953568999,0.1113250870411617,-0.27406433538013436,0.16232198697279288,0.7602831605812809,1.1762389139610872,0.0,-0.5018740671005515,0.615756108187686,0.6995690608218751
industry_consolidated_Comedian,-0.01893294447935276,0.9812451579417473,0.2693887469311435,-0.546925186304769,0.5090592973460635,0.578726553736459,1.6637253876942102,0.0,-0.07028112604938197,0.943969904586469,0.0831872302112376
industry_consolidated_Model,0.6227077858111878,1.8639684419042246,0.25202653594040314,0.12874485221960813,1.1166707194027674,1.1373998820846627,3.0546674104158607,0.0,2.4708024632709304,0.013481026234133428,6.212925864876542
industry_consolidated_Other_Industry,-0.06512681040932697,0.9369486410029217,0.15191421414427092,-0.36287319887180325,0.23261957805314928,0.6956746402358598,1.2619013330421103,0.0,-0.42870781234122635,0.6681358745725284,0.5817865705736978
industry_consolidated_Singer/Rapper,0.08348561268711174,1.0870695751702586,0.12790480108840677,-0.167203190895925,0.3341744162701485,0.8460276887471733,1.396786744664088,0.0,0.6527168016891497,0.5139388686621447,0.960331329092615
industry_consolidated_Tv Personality,-0.034936490763397825,0.9656667430678008,0.11912214747170861,-0.2684116095690158,0.1985386280422201,0.7645930025281283,1.2196191380039054,0.0,-0.29328291593882827,0.7693059109131611,0.37837070164420805
