term,coef_j,se_j,coef_f,sd_f,diff_f_minus_j,z,p_value,same_direction
Intercept,0.15655659801467414,0.23290235958830494,-0.859,0.258,-1.0155565980146741,-2.9218449577663996,0.003479647082789805,False
age_z,-0.4260215637719616,0.0220890423115962,-0.209,0.022,0.2170215637719616,6.961235645031822,3.3730795934161506e-12,True
week_z,-0.16256230929929857,0.015691556287488456,0.216,0.018,0.37856230929929857,15.853102537047988,0.0,False
