season,week,judge_save,actual_eliminated,cbr_elim,cbp_elim,cbr_bottom2,cbp_bottom2,cbr_hit,cbp_hit
19,5,False,,Michael Waltrip,Michael Waltrip,Michael Waltrip; Tommy Chong,Michael Waltrip; Tommy Chong,0,0
19,6,False,Jonathan Bennett,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.; Tommy Chong,Antonio Sabato Jr.; Jonathan Bennett,0,0
19,7,False,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.; Michael Waltrip,Antonio Sabato Jr.; Michael Waltrip,1,1
19,8,False,Michael Waltrip,Michael Waltrip,Michael Waltrip,Michael Waltrip; Tommy Chong,Michael Waltrip; Tommy Chong,1,1
19,9,False,Lea Thompson,Lea Thompson,Tommy Chong,Lea Thompson; Tommy Chong,Tommy Chong; Lea Thompson,1,0
19,10,False,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong; Sadie Robertson,Tommy Chong; Sadie Robertson,1,1
19,11,False,Bethany Mota,Bethany Mota,Bethany Mota,Bethany Mota; Sadie Robertson,Bethany Mota; Sadie Robertson,1,1
20,1,False,,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney; Redfoo,Charlotte McKinney; Redfoo,0,0
20,2,False,Redfoo,Noah Galloway,Chris Soules,Noah Galloway; Charlotte McKinney,Chris Soules; Charlotte McKinney,0,0
20,3,False,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney; Patti LaBelle,Charlotte McKinney; Patti LaBelle,1,1
20,4,False,Michael Sam,Michael Sam,Michael Sam,Michael Sam; Suzanne Somers,Michael Sam; Suzanne Somers,1,1
20,5,False,Suzanne Somers,Patti LaBelle,Suzanne Somers,Patti LaBelle; Suzanne Somers,Suzanne Somers; Robert Herjavec,0,1
20,6,False,Patti LaBelle,Patti LaBelle,Robert Herjavec,Patti LaBelle; Robert Herjavec,Robert Herjavec; Patti LaBelle,1,0
20,7,False,Willow Shields,Robert Herjavec,Robert Herjavec,Robert Herjavec; Chris Soules,Robert Herjavec; Chris Soules,0,0
20,8,False,Robert Herjavec; Chris Soules,Robert Herjavec,Robert Herjavec,Robert Herjavec; Chris Soules,Robert Herjavec; Chris Soules,0,0
20,9,False,Nastia Liukin,Rumer Willis,Rumer Willis,Rumer Willis; Noah Galloway,Rumer Willis; Nastia Liukin,0,0
20,10,False,,Noah Galloway,Noah Galloway,Noah Galloway; Rumer Willis,Noah Galloway; Rumer Willis,0,0
21,1,False,,Kim Zolciak-Biermann,Kim Zolciak-Biermann,Kim Zolciak-Biermann; Chaka Khan,Kim Zolciak-Biermann; Chaka Khan,0,0
21,2,False,Victor Espinoza; Chaka Khan,Chaka Khan,Chaka Khan,Chaka Khan; Victor Espinoza,Chaka Khan; Gary Busey,0,0
21,3,False,,Paula Deen,Paula Deen,Paula Deen; Gary Busey,Paula Deen; Gary Busey,0,0
21,4,False,Gary Busey,Gary Busey,Gary Busey,Gary Busey; Paula Deen,Gary Busey; Paula Deen,1,1
21,5,False,,Paula Deen,Paula Deen,Paula Deen; Alek Skarlatos,Paula Deen; Alek Skarlatos,0,0
21,6,False,Paula Deen,Paula Deen,Paula Deen,Paula Deen; Alek Skarlatos,Paula Deen; Alek Skarlatos,1,1
21,7,False,Hayes Grier,Alek Skarlatos,Hayes Grier,Alek Skarlatos; Alexa PenaVega,Hayes Grier; Alek Skarlatos,0,1
21,8,False,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer; Alek Skarlatos,Andy Grammer; Alek Skarlatos,1,1
21,9,False,Alexa PenaVega,Carlos PenaVega,Alexa PenaVega,Carlos PenaVega; Alek Skarlatos,Alexa PenaVega; Carlos PenaVega,0,1
21,10,False,,Alek Skarlatos,Alek Skarlatos,Alek Skarlatos; Nick Carter,Alek Skarlatos; Nick Carter,0,0
21,11,False,Carlos PenaVega,Alek Skarlatos,Carlos PenaVega,Alek Skarlatos; Carlos PenaVega,Carlos PenaVega; Alek Skarlatos,0,1
22,1,False,,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera; Doug Flutie,Geraldo Rivera; Doug Flutie,0,0
22,2,False,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera; Mischa Barton,Geraldo Rivera; Mischa Barton,1,1
22,3,False,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton; Doug Flutie,Mischa Barton; Doug Flutie,1,1
22,4,False,Marla Maples,Jodie Sweetin,Doug Flutie,Jodie Sweetin; Marla Maples,Doug Flutie; Marla Maples,0,0
22,5,False,,Antonio Brown,Antonio Brown,Antonio Brown; Kim Fields,Antonio Brown; Kim Fields,0,0
22,6,False,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie; Kim Fields,Doug Flutie; Kim Fields,1,1
22,7,False,Kim Fields; Von Miller,Kim Fields,Kim Fields,Kim Fields; Von Miller,Kim Fields; Von Miller,0,0
22,8,False,Jodie Sweetin,Antonio Brown,Antonio Brown,Antonio Brown; Paige VanZant,Antonio Brown; Paige VanZant,0,0
22,9,False,Antonio Brown; Wanya Morris,Antonio Brown,Antonio Brown,Antonio Brown; Paige VanZant,Antonio Brown; Ginger Zee,0,0
22,10,False,,Ginger Zee,Ginger Zee,Ginger Zee; Nyle DiMarco,Ginger Zee; Nyle DiMarco,0,0
23,1,False,,Rick Perry,Rick Perry,Rick Perry; Jake T. Austin,Rick Perry; Jake T. Austin,0,0
23,2,False,Jake T. Austin,Jake T. Austin,Jake T. Austin,Jake T. Austin; Amber Rose,Jake T. Austin; Rick Perry,1,1
23,3,False,Rick Perry,Rick Perry,Rick Perry,Rick Perry; Vanilla Ice,Rick Perry; Vanilla Ice,1,1
23,4,False,Babyface; Vanilla Ice,Babyface,Babyface,Babyface; Vanilla Ice,Babyface; Ryan Lochte,0,0
23,5,False,,Ryan Lochte,Ryan Lochte,Ryan Lochte; Amber Rose,Ryan Lochte; Amber Rose,0,0
23,6,False,Amber Rose,Amber Rose,Amber Rose,Amber Rose; Ryan Lochte,Amber Rose; Ryan Lochte,1,1
23,7,False,Maureen McCormick,Maureen McCormick,Marilu Henner,Maureen McCormick; Marilu Henner,Marilu Henner; Maureen McCormick,1,0
23,8,False,Ryan Lochte,Ryan Lochte,Marilu Henner,Ryan Lochte; Terra Jole,Marilu Henner; Ryan Lochte,1,0
23,9,False,Marilu Henner,Marilu Henner,Marilu Henner,Marilu Henner; Calvin Johnson Jr.,Marilu Henner; Calvin Johnson Jr.,1,1
23,10,False,Terra Jole,Calvin Johnson Jr.,Jana Kramer,Calvin Johnson Jr.; Jana Kramer,Jana Kramer; Terra Jole,0,0
23,11,False,Jana Kramer,Jana Kramer,Jana Kramer,Jana Kramer; Calvin Johnson Jr.,Jana Kramer; Calvin Johnson Jr.,1,1
24,1,False,,Chris Kattan,Chris Kattan,Chris Kattan; Mr. T,Chris Kattan; Mr. T,0,0
24,2,False,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan; Mr. T,Chris Kattan; Mr. T,1,1
24,3,False,Charo,Charo,Charo,Charo; Mr. T,Charo; Mr. T,1,1
24,4,False,Mr. T,Mr. T,Mr. T,Mr. T; Nick Viall,Mr. T; Nick Viall,1,1
24,5,False,Erika Jayne,Bonner Bolton,Bonner Bolton,Bonner Bolton; Erika Jayne,Bonner Bolton; Erika Jayne,0,0
24,6,False,Heather Morris,Nancy Kerrigan,David Ross,Nancy Kerrigan; Bonner Bolton,David Ross; Heather Morris,0,0
24,7,False,Nancy Kerrigan; Nick Viall,Nancy Kerrigan,David Ross,Nancy Kerrigan; Bonner Bolton,David Ross; Nancy Kerrigan,0,0
24,8,False,Bonner Bolton,Bonner Bolton,Bonner Bolton,Bonner Bolton; David Ross,Bonner Bolton; David Ross,1,1
24,9,False,Simone Biles,David Ross,David Ross,David Ross; Simone Biles,David Ross; Rashad Jennings,0,0
24,10,False,,David Ross,David Ross,David Ross; Normani,David Ross; Normani,0,0
25,1,False,,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran; Terrell Owens,Barbara Corcoran; Terrell Owens,0,0
25,2,False,Barbara Corcoran; Debbie Gibson,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran; Debbie Gibson,Barbara Corcoran; Terrell Owens,0,0
25,3,False,,Terrell Owens,Sasha Pieterse,Terrell Owens; Sasha Pieterse,Sasha Pieterse; Terrell Owens,0,0
25,4,False,Derek Fisher,Derek Fisher,Nick Lachey,Derek Fisher; Terrell Owens,Nick Lachey; Derek Fisher,1,0
25,5,False,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse; Terrell Owens,Sasha Pieterse; Nick Lachey,1,1
25,6,False,Nick Lachey,Drew Scott,Nick Lachey,Drew Scott; Nick Lachey,Nick Lachey; Drew Scott,0,1
25,7,False,Nikki Bella; Vanessa Lachey,Nikki Bella,Nikki Bella,Nikki Bella; Terrell Owens,Nikki Bella; Terrell Owens,0,0
25,8,False,Terrell Owens,Terrell Owens,Victoria Arlen,Terrell Owens; Victoria Arlen,Victoria Arlen; Terrell Owens,1,0
25,9,False,Victoria Arlen,Frankie Muniz,Frankie Muniz,Frankie Muniz; Victoria Arlen,Frankie Muniz; Victoria Arlen,0,0
25,10,False,Drew Scott,Drew Scott,Drew Scott,Drew Scott; Frankie Muniz,Drew Scott; Frankie Muniz,1,1
26,1,False,Jamie Anderson; Johnny Damon,Jamie Anderson,Johnny Damon,Jamie Anderson; Johnny Damon,Johnny Damon; Kareem Abdul-Jabbar,0,0
26,2,False,Kareem Abdul-Jabbar; Arike Ogunbowale,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar; Jennie Finch Daigle,Kareem Abdul-Jabbar; Arike Ogunbowale,0,0
26,3,False,Jennie Finch Daigle; Chris Mazdzer; Mirai Nagasu,Jennie Finch Daigle,Jennie Finch Daigle,Jennie Finch Daigle; Chris Mazdzer,Jennie Finch Daigle; Chris Mazdzer,0,0
26,4,False,,Tonya Harding,Tonya Harding,Tonya Harding; Josh Norman,Tonya Harding; Josh Norman,0,0
27,1,False,Nikki Glaser,Nikki Glaser,Nikki Glaser,Nikki Glaser; John Schneider,Nikki Glaser; Joe Amabile,1,1
27,2,False,Danelle Umstead,Danelle Umstead,Danelle Umstead,Danelle Umstead; Joe Amabile,Danelle Umstead; Joe Amabile,1,1
27,3,False,Nancy McKeon,Nancy McKeon,Nancy McKeon,Nancy McKeon; John Schneider,Nancy McKeon; Joe Amabile,1,1
27,4,False,Tinashe,Bobby Bones,Tinashe,Bobby Bones; Joe Amabile,Tinashe; Joe Amabile,0,1
27,5,False,,Joe Amabile,Joe Amabile,Joe Amabile; Bobby Bones,Joe Amabile; Bobby Bones,0,0
27,6,False,Mary Lou Retton,Mary Lou Retton,John Schneider,Mary Lou Retton; Bobby Bones,John Schneider; Bobby Bones,1,0
27,7,False,John Schneider; DeMarcus Ware,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware; John Schneider,DeMarcus Ware; John Schneider,0,0
27,8,False,Juan Pablo Di Pace; Joe Amabile,Joe Amabile,Joe Amabile,Joe Amabile; Bobby Bones,Joe Amabile; Juan Pablo Di Pace,0,0
27,9,False,,Bobby Bones,Bobby Bones,Bobby Bones; Alexis Ren,Bobby Bones; Alexis Ren,0,0
28,1,True,,Lamar Odom,Lamar Odom,Lamar Odom; Sean Spicer,Lamar Odom; Sean Spicer,1,1
28,2,True,Mary Wilson,Lamar Odom,Lamar Odom,Lamar Odom; Mary Wilson,Lamar Odom; Mary Wilson,1,1
28,3,True,,Lamar Odom,Lamar Odom,Lamar Odom; Sean Spicer,Lamar Odom; Sean Spicer,1,1
28,4,True,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom; Sean Spicer,Lamar Odom; Sean Spicer,1,1
28,5,True,,Sean Spicer,Sean Spicer,Sean Spicer; Karamo Brown,Sean Spicer; Karamo Brown,1,1
28,6,True,Sailor Brinkley-Cook,Sean Spicer,Sean Spicer,Sean Spicer; Sailor Brinkley-Cook,Sean Spicer; Sailor Brinkley-Cook,1,1
28,7,True,Karamo Brown,Sean Spicer,Sean Spicer,Sean Spicer; Kate Flannery,Sean Spicer; Karamo Brown,0,1
28,8,True,Kate Flannery,Sean Spicer,Sean Spicer,Sean Spicer; Kate Flannery,Sean Spicer; Kate Flannery,1,1
28,9,True,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer; Lauren Alaina,Sean Spicer; Lauren Alaina,1,1
28,10,True,James Van Der Beek,James Van Der Beek,Lauren Alaina,James Van Der Beek; Lauren Alaina,Lauren Alaina; James Van Der Beek,1,1
28,11,True,,Lauren Alaina,Lauren Alaina,Lauren Alaina; Hannah Brown,Lauren Alaina; Hannah Brown,1,1
29,1,True,,Carole Baskin,Carole Baskin,Carole Baskin; Charles Oakley,Carole Baskin; Charles Oakley,1,1
29,2,True,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley; Carole Baskin,Charles Oakley; Carole Baskin,1,1
29,3,True,Carole Baskin,Carole Baskin,Carole Baskin,Carole Baskin; Anne Heche,Carole Baskin; Anne Heche,1,1
29,4,True,Anne Heche,Anne Heche,Anne Heche,Anne Heche; Nelly,Anne Heche; Nelly,1,1
29,5,True,Jesse Metcalfe,Chrishell Stause,Chrishell Stause,Chrishell Stause; Jesse Metcalfe,Chrishell Stause; Jesse Metcalfe,1,1
29,6,True,Veron Davis,Veron Davis,Skai Jackson,Veron Davis; Skai Jackson,Skai Jackson; Veron Davis,1,1
29,7,True,Monica Aldama,Monica Aldama,Monica Aldama,Monica Aldama; Chrishell Stause,Monica Aldama; Chrishell Stause,1,1
29,8,True,Chrishell Stause,Nelly,Nelly,Nelly; Chrishell Stause,Nelly; Chrishell Stause,1,1
29,9,True,AJ McLean,Nelly,Nelly,Nelly; AJ McLean,Nelly; AJ McLean,1,1
29,10,True,Skai Jackson; Johnny Weir,Johnny Weir,Johnny Weir,Johnny Weir; Skai Jackson,Johnny Weir; Skai Jackson,1,1
29,11,True,,Nelly,Nelly,Nelly; Justina Machado,Nelly; Justina Machado,1,1
30,1,True,,Martin Kove,Martin Kove,Martin Kove; Iman Shumpert,Martin Kove; Iman Shumpert,1,1
30,2,True,Martin Kove,Martin Kove,Martin Kove,Martin Kove; Matt James,Martin Kove; Matt James,1,1
30,3,True,Christine Chiu,Iman Shumpert,Iman Shumpert,Iman Shumpert; Christine Chiu,Iman Shumpert; Matt James,1,0
30,4,True,Brian Austin Green; Matt James,Brian Austin Green,Brian Austin Green,Brian Austin Green; Matt James,Brian Austin Green; Matt James,1,1
30,5,True,Melanie C,Iman Shumpert,Iman Shumpert,Iman Shumpert; Melanie C,Iman Shumpert; Melanie C,1,1
30,6,True,Kenya Moore,Kenya Moore,Kenya Moore,"Kenya Moore; Mike ""The Miz"" Mizanin",Kenya Moore; Suni Lee,1,1
30,7,True,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin; Suni Lee","Mike ""The Miz"" Mizanin; Suni Lee",1,1
30,8,True,Jimmie Allen; Olivia Jade,Jimmie Allen,Jimmie Allen,Jimmie Allen; Olivia Jade,Jimmie Allen; Olivia Jade,1,1
30,9,True,Melora Hardin; Suni Lee,Suni Lee,Suni Lee,Suni Lee; Melora Hardin,Suni Lee; Iman Shumpert,1,0
30,10,True,,Cody Rigsby,Cody Rigsby,Cody Rigsby; Amanda Kloots,Cody Rigsby; Iman Shumpert,1,1
31,1,True,Jason Lewis,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino; Jason Lewis,Vinny Guadagnino; Jason Lewis,1,1
31,2,True,Teresa Giudice,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd; Teresa Giudice,Cheryl Ladd; Teresa Giudice,1,1
31,3,True,Cheryl Ladd,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino; Cheryl Ladd,Vinny Guadagnino; Cheryl Ladd,1,1
31,4,True,Sam Champion,Sam Champion,Sam Champion,Sam Champion; Trevor Donovan,Sam Champion; Trevor Donovan,1,1
31,5,True,Joseph Baena,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino; Joseph Baena,Vinny Guadagnino; Trevor Donovan,1,0
31,6,True,Jessie James Decker,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino; Jessie James Decker,Vinny Guadagnino; Jessie James Decker,1,1
31,7,True,Jordin Sparks,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino; Jordin Sparks,Vinny Guadagnino; Jordin Sparks,1,1
31,8,True,Heidi D'Amelio; Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino; Heidi D'Amelio,Vinny Guadagnino; Heidi D'Amelio,1,1
31,9,True,Trevor Donovan; Daniel Durant,Trevor Donovan,Trevor Donovan,Trevor Donovan; Daniel Durant,Trevor Donovan; Daniel Durant,1,1
31,10,True,,Shangela,Shangela,Shangela; Wayne Brady,Shangela; Wayne Brady,1,1
32,1,True,Matt Walsh,Tyson Beckford,Tyson Beckford,Tyson Beckford; Matt Walsh,Tyson Beckford; Matt Walsh,1,1
32,2,True,Jamie Lynn Spears,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky; Jamie Lynn Spears,Mauricio Umansky; Harry Jowsey,1,0
32,3,True,Tyson Beckford,Tyson Beckford,Tyson Beckford,Tyson Beckford; Mauricio Umansky,Tyson Beckford; Mauricio Umansky,1,1
32,4,True,Adrian Peterson,Barry Williams,Barry Williams,Barry Williams; Adrian Peterson,Barry Williams; Adrian Peterson,1,1
32,5,True,Mira Sorvino,Harry Jowsey,Harry Jowsey,Harry Jowsey; Mira Sorvino,Harry Jowsey; Mira Sorvino,1,1
32,6,True,Mauricio Umansky,Harry Jowsey,Harry Jowsey,Harry Jowsey; Barry Williams,Harry Jowsey; Mauricio Umansky,0,1
32,7,True,Lele Pons,Harry Jowsey,Harry Jowsey,Harry Jowsey; Barry Williams,Harry Jowsey; Lele Pons,0,1
32,8,True,Barry Williams,Harry Jowsey,Harry Jowsey,Harry Jowsey; Barry Williams,Harry Jowsey; Barry Williams,1,1
32,9,True,Harry Jowsey,Harry Jowsey,Harry Jowsey,Harry Jowsey; Alyson Hannigan,Harry Jowsey; Alyson Hannigan,1,1
32,10,True,,Alyson Hannigan,Alyson Hannigan,Alyson Hannigan; Jason Mraz,Alyson Hannigan; Charity Lawson,1,1
32,11,True,,Alyson Hannigan,Alyson Hannigan,Alyson Hannigan; Charity Lawson,Alyson Hannigan; Charity Lawson,1,1
33,1,True,,Eric Roberts,Eric Roberts,Eric Roberts; Reginald VelJohnson,Eric Roberts; Reginald VelJohnson,1,1
33,2,True,Tori Spelling; Anna Delvey,Tori Spelling,Reginald VelJohnson,Tori Spelling; Reginald VelJohnson,Reginald VelJohnson; Eric Roberts,0,0
33,3,True,Eric Roberts; Reginald VelJohnson,Reginald VelJohnson,Reginald VelJohnson,Reginald VelJohnson; Eric Roberts,Reginald VelJohnson; Eric Roberts,1,1
33,4,True,Brooks Nader,Dwight Howard ,Brooks Nader,Dwight Howard ; Brooks Nader,Brooks Nader; Dwight Howard ,1,1
33,5,True,Phaedra Parks,Phaedra Parks,Phaedra Parks,Phaedra Parks; Dwight Howard ,Phaedra Parks; Dwight Howard ,1,1
33,6,True,Jenn Tran,Ilona Maher,Ilona Maher,Ilona Maher; Danny Amendola,Ilona Maher; Jenn Tran,0,1
33,7,True,Dwight Howard ,Dwight Howard ,Dwight Howard ,Dwight Howard ; Danny Amendola,Dwight Howard ; Ilona Maher,1,1
33,8,True,,Stephen Nedoroscik,Stephen Nedoroscik,Stephen Nedoroscik; Danny Amendola,Stephen Nedoroscik; Danny Amendola,1,1
33,9,True,,Danny Amendola,Danny Amendola,Danny Amendola; Ilona Maher,Danny Amendola; Ilona Maher,1,1
34,1,True,,Andy Richter,Andy Richter,Andy Richter; Corey Feldman,Andy Richter; Corey Feldman,1,1
34,2,True,Corey Feldman; Baron Davis,Corey Feldman,Corey Feldman,Corey Feldman; Baron Davis,Corey Feldman; Andy Richter,1,0
34,3,True,Lauren Jauregui,Andy Richter,Andy Richter,Andy Richter; Lauren Jauregui,Andy Richter; Lauren Jauregui,1,1
34,4,True,Hilaria Baldwin,Andy Richter,Andy Richter,Andy Richter; Hilaria Baldwin,Andy Richter; Hilaria Baldwin,1,1
34,5,True,,Andy Richter,Andy Richter,Andy Richter; Jen Affleck,Andy Richter; Jen Affleck,1,1
34,6,True,Scott Hoying,Andy Richter,Andy Richter,Andy Richter; Scott Hoying,Andy Richter; Scott Hoying,1,1
