season,week,judge_save,actual_eliminated,cbr_elim,cbp_elim,cbr_bottom2,cbp_bottom2,cbr_hit,cbp_hit
1,1,False,,Kelly Monaco,Kelly Monaco,Kelly Monaco; Evander Holyfield,Kelly Monaco; Evander Holyfield,0,0
1,2,False,Trista Sutter,Kelly Monaco,Trista Sutter,Kelly Monaco; Evander Holyfield,Trista Sutter; Kelly Monaco,0,1
1,3,False,Evander Holyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield; Kelly Monaco,Evander Holyfield; Kelly Monaco,1,1
1,4,False,Rachel Hunter,John O'Hurley,Rachel Hunter,John O'Hurley; Rachel Hunter,Rachel Hunter; John O'Hurley,0,1
1,5,False,,Kelly Monaco,Kelly Monaco,Kelly Monaco; Joey McIntyre,Kelly Monaco; Joey McIntyre,0,0
1,6,False,,John O'Hurley,John O'Hurley,John O'Hurley; Kelly Monaco,John O'Hurley; Kelly Monaco,0,0
2,1,False,Kenny Mayne,Master P,Master P,Master P; Kenny Mayne,Master P; Kenny Mayne,0,0
2,2,False,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal; Lisa Rinna,Tatum O'Neal; Lisa Rinna,1,1
2,3,False,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez; George Hamilton,Giselle Fernandez; George Hamilton,1,1
2,4,False,Master P,Master P,Master P,Master P; George Hamilton,Master P; George Hamilton,1,1
2,5,False,Tia Carrere,Tia Carrere,George Hamilton,Tia Carrere; George Hamilton,George Hamilton; Tia Carrere,1,0
2,6,False,George Hamilton,George Hamilton,George Hamilton,George Hamilton; Jerry Rice,George Hamilton; Jerry Rice,1,1
2,7,False,Lisa Rinna,Lisa Rinna,Lisa Rinna,Lisa Rinna; Jerry Rice,Lisa Rinna; Jerry Rice,1,1
2,8,False,,Jerry Rice,Jerry Rice,Jerry Rice; Stacy Keibler,Jerry Rice; Drew Lachey,0,0
3,1,False,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson; Sara Evans,Tucker Carlson; Sara Evans,1,1
3,2,False,Shanna Moakler,Sara Evans,Shanna Moakler,Sara Evans; Jerry Springer,Shanna Moakler; Jerry Springer,0,1
3,3,False,Harry Hamlin,Jerry Springer,Jerry Springer,Jerry Springer; Harry Hamlin,Jerry Springer; Harry Hamlin,0,0
3,4,False,Vivica A. Fox,Sara Evans,Sara Evans,Sara Evans; Jerry Springer,Sara Evans; Vivica A. Fox,0,0
3,5,False,Willa Ford,Sara Evans,Willa Ford,Sara Evans; Jerry Springer,Willa Ford; Sara Evans,0,1
3,6,False,,Jerry Springer,Jerry Springer,Jerry Springer; Monique Coleman,Jerry Springer; Emmitt Smith,0,0
3,7,False,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer; Monique Coleman,Jerry Springer; Monique Coleman,1,1
3,8,False,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman; Emmitt Smith,Monique Coleman; Emmitt Smith,1,1
3,9,False,,Emmitt Smith,Emmitt Smith,Emmitt Smith; Joey Lawrence,Emmitt Smith; Joey Lawrence,0,0
3,10,False,,Emmitt Smith,Emmitt Smith,Emmitt Smith; Mario Lopez,Emmitt Smith; Mario Lopez,0,0
4,1,False,,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus; Leeza Gibbons,Billy Ray Cyrus; Leeza Gibbons,0,0
4,2,False,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,Paulina Porizkova; Billy Ray Cyrus,Clyde Drexler; Paulina Porizkova,1,0
4,3,False,Shandi Finnessey,John Ratzenberger,Clyde Drexler,John Ratzenberger; Clyde Drexler,Clyde Drexler; Shandi Finnessey,0,0
4,4,False,Leeza Gibbons,John Ratzenberger,John Ratzenberger,John Ratzenberger; Leeza Gibbons,John Ratzenberger; Leeza Gibbons,0,0
4,5,False,Clyde Drexler,John Ratzenberger,Clyde Drexler,John Ratzenberger; Clyde Drexler,Clyde Drexler; Billy Ray Cyrus,0,1
4,6,False,Heather Mills,Heather Mills,John Ratzenberger,Heather Mills; Billy Ray Cyrus,John Ratzenberger; Billy Ray Cyrus,1,0
4,7,False,John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger; Billy Ray Cyrus,John Ratzenberger; Billy Ray Cyrus,1,1
4,8,False,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus; Ian Ziering,Billy Ray Cyrus; Ian Ziering,1,1
4,9,False,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering; Apolo Anton Ohno,Ian Ziering; Apolo Anton Ohno,1,1
4,10,False,,Laila Ali,Laila Ali,Laila Ali; Apolo Anton Ohno,Laila Ali; Apolo Anton Ohno,0,0
5,1,False,Josie Maran,Josie Maran,Josie Maran,Josie Maran; Floyd Mayweather Jr. ,Josie Maran; Floyd Mayweather Jr. ,1,1
5,2,False,Albert Reed,Mark Cuban,Wayne Newton,Mark Cuban; Albert Reed,Wayne Newton; Mark Cuban,0,0
5,3,False,Wayne Newton,Mark Cuban,Wayne Newton,Mark Cuban; Wayne Newton,Wayne Newton; Mark Cuban,0,1
5,4,False,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ; Mark Cuban,Floyd Mayweather Jr. ; Mark Cuban,1,1
5,5,False,Mark Cuban,Marie Osmond,Marie Osmond,Marie Osmond; Mark Cuban,Marie Osmond; Mark Cuban,0,0
5,6,False,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan; Jane Seymour,Sabrina Bryan; Jennie Garth,1,1
5,7,False,Jane Seymour,Cameron Mathison,Jane Seymour,Cameron Mathison; Jane Seymour,Jane Seymour; Cameron Mathison,0,1
5,8,False,Cameron Mathison,Marie Osmond,Cameron Mathison,Marie Osmond; Cameron Mathison,Cameron Mathison; Marie Osmond,0,1
5,9,False,Jennie Garth,Jennie Garth,Jennie Garth,Jennie Garth; Marie Osmond,Jennie Garth; Marie Osmond,1,1
5,10,False,,Marie Osmond,Marie Osmond,Marie Osmond; Helio Castroneves,Marie Osmond; Helio Castroneves,0,0
6,1,False,,Monica Seles,Monica Seles,Monica Seles; Adam Carolla,Monica Seles; Adam Carolla,0,0
6,2,False,Monica Seles; Penn Jillette,Monica Seles,Monica Seles,Monica Seles; Penn Jillette,Monica Seles; Steve Guttenberg,0,0
6,3,False,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg; Adam Carolla,Steve Guttenberg; Marissa Jaret Winokur,1,1
6,4,False,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla; Priscilla Presley,Adam Carolla; Priscilla Presley,1,1
6,5,False,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley; Marlee Matlin,Priscilla Presley; Marlee Matlin,1,1
6,6,False,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin; Shannon Elizabeth,Marlee Matlin; Shannon Elizabeth,1,1
6,7,False,Shannon Elizabeth,Shannon Elizabeth,Cristian de la Fuente,Shannon Elizabeth; Mario,Cristian de la Fuente; Shannon Elizabeth,1,0
6,8,False,Mario,Marissa Jaret Winokur,Mario,Marissa Jaret Winokur; Jason Taylor,Mario; Marissa Jaret Winokur,0,1
6,9,False,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur; Jason Taylor,Marissa Jaret Winokur; Jason Taylor,1,1
6,10,False,,Cristian de la Fuente,Cristian de la Fuente,Cristian de la Fuente; Jason Taylor,Cristian de la Fuente; Jason Taylor,0,0
7,1,False,Ted McGinley; Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross; Rocco DiSpirito,Jeffrey Ross; Ted McGinley,0,0
7,2,False,Kim Kardashian,Kim Kardashian,Rocco DiSpirito,Kim Kardashian; Rocco DiSpirito,Rocco DiSpirito; Cloris Leachman,1,0
7,3,False,,Cloris Leachman,Cloris Leachman,Cloris Leachman; Rocco DiSpirito,Cloris Leachman; Rocco DiSpirito,0,0
7,4,False,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito; Maurice Greene,Rocco DiSpirito; Maurice Greene,1,1
7,5,False,Toni Braxton,Toni Braxton,Cloris Leachman,Toni Braxton; Susan Lucci,Cloris Leachman; Lance Bass,1,0
7,6,False,Cloris Leachman,Cloris Leachman,Cloris Leachman,Cloris Leachman; Maurice Greene,Cloris Leachman; Maurice Greene,1,1
7,7,False,Susan Lucci,Susan Lucci,Cody Linley,Susan Lucci; Cody Linley,Cody Linley; Warren Sapp,1,0
7,8,False,Maurice Greene,Maurice Greene,Maurice Greene,Maurice Greene; Cody Linley,Maurice Greene; Cody Linley,1,1
7,9,False,Cody Linley,Cody Linley,Cody Linley,Cody Linley; Warren Sapp,Cody Linley; Warren Sapp,1,1
7,10,False,,Warren Sapp,Warren Sapp,Warren Sapp; Lance Bass,Warren Sapp; Lance Bass,0,0
8,1,False,,Steve Wozniak,Steve Wozniak,Steve Wozniak; Ty Murray,Steve Wozniak; Ty Murray,0,0
8,2,False,Belinda Carlisle,Steve Wozniak,Belinda Carlisle,Steve Wozniak; Belinda Carlisle,Belinda Carlisle; Steve-O,0,1
8,3,False,Denise Richards,Denise Richards,Denise Richards,Denise Richards; Steve-O,Denise Richards; Steve Wozniak,1,1
8,4,False,Steve Wozniak; Holly Madison,Holly Madison,Steve Wozniak,Holly Madison; Lawrence Taylor,Steve Wozniak; Holly Madison,0,0
8,5,False,David Alan Grier,David Alan Grier,Lawrence Taylor,David Alan Grier; Ty Murray,Lawrence Taylor; David Alan Grier,1,0
8,6,False,Steve-O,Ty Murray,Steve-O,Ty Murray; Steve-O,Steve-O; Ty Murray,0,1
8,7,False,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor; Ty Murray,Lawrence Taylor; Ty Murray,1,1
8,8,False,Chuck Wicks,Chuck Wicks,Melissa Rycroft,Chuck Wicks; Melissa Rycroft,Melissa Rycroft; Chuck Wicks,1,0
8,9,False,Lil' Kim,Lil' Kim,Ty Murray,Lil' Kim; Ty Murray,Ty Murray; Lil' Kim,1,0
8,10,False,Ty Murray,Ty Murray,Ty Murray,Ty Murray; Shawn Johnson,Ty Murray; Melissa Rycroft,1,1
8,11,False,,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft; Gilles Marini,Melissa Rycroft; Shawn Johnson,0,0
9,1,False,Ashley Hamiliton; Macy Gray,Macy Gray,Macy Gray,Macy Gray; Ashley Hamiliton,Macy Gray; Ashley Hamiliton,0,0
9,2,False,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland; Tom DeLay,Kathy Ireland; Tom DeLay,1,1
9,3,False,Debi Mazar,Debi Mazar,Tom DeLay,Debi Mazar; Chuck Liddell,Tom DeLay; Debi Mazar,1,0
9,4,False,Chuck Liddell,Chuck Liddell,Louie Vito,Chuck Liddell; Louie Vito,Louie Vito; Michael Irvin,1,0
9,5,False,Natalie Coughlin,Natalie Coughlin,Michael Irvin,Natalie Coughlin; Louie Vito,Michael Irvin; Natalie Coughlin,1,0
9,6,False,Melissa Joan Hart; Louie Vito,Melissa Joan Hart,Michael Irvin,Melissa Joan Hart; Louie Vito,Michael Irvin; Louie Vito,0,0
9,7,False,Mark Dacascos; Michael Irvin,Mark Dacascos,Mark Dacascos,Mark Dacascos; Michael Irvin,Mark Dacascos; Michael Irvin,0,0
9,8,False,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter; Donny Osmond,Aaron Carter; Donny Osmond,1,1
9,9,False,Joanna Krupa,Joanna Krupa,Joanna Krupa,Joanna Krupa; Donny Osmond,Joanna Krupa; Donny Osmond,1,1
9,10,False,,Kelly Osbourne,Kelly Osbourne,Kelly Osbourne; Mya,Kelly Osbourne; Donny Osmond,0,0
10,1,False,,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin; Aiden Turner,Buzz Aldrin; Aiden Turner,0,0
10,2,False,Shannen Doherty,Aiden Turner,Buzz Aldrin,Aiden Turner; Chad Ochocinco,Buzz Aldrin; Kate Gosselin,0,0
10,3,False,Buzz Aldrin,Kate Gosselin,Buzz Aldrin,Kate Gosselin; Buzz Aldrin,Buzz Aldrin; Kate Gosselin,0,1
10,4,False,Aiden Turner,Aiden Turner,Aiden Turner,Aiden Turner; Niecy Nash,Aiden Turner; Kate Gosselin,1,1
10,5,False,Kate Gosselin,Kate Gosselin,Kate Gosselin,Kate Gosselin; Niecy Nash,Kate Gosselin; Niecy Nash,1,1
10,6,False,Jake Pavelka,Niecy Nash,Jake Pavelka,Niecy Nash; Jake Pavelka,Jake Pavelka; Niecy Nash,0,1
10,7,False,Pamela Anderson,Pamela Anderson,Niecy Nash,Pamela Anderson; Erin Andrews,Niecy Nash; Pamela Anderson,1,0
10,8,False,Niecy Nash,Niecy Nash,Niecy Nash,Niecy Nash; Chad Ochocinco,Niecy Nash; Chad Ochocinco,1,1
10,9,False,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco; Erin Andrews,Chad Ochocinco; Erin Andrews,1,1
10,10,False,,Evan Lysacek,Erin Andrews,Evan Lysacek; Erin Andrews,Erin Andrews; Evan Lysacek,0,0
11,1,False,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff; Margaret Cho,David Hasselhoff; Margaret Cho,1,1
11,2,False,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton; The Situation,Michael Bolton; The Situation,1,1
11,3,False,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho; The Situation,Margaret Cho; Bristol Palin,1,1
11,4,False,The Situation,The Situation,The Situation,The Situation; Bristol Palin,The Situation; Bristol Palin,1,1
11,5,False,Florence Henderson,Florence Henderson,Florence Henderson,Florence Henderson; Kyle Massey,Florence Henderson; Bristol Palin,1,1
11,6,False,Audrina Patridge,Kyle Massey,Kurt Warner,Kyle Massey; Kurt Warner,Kurt Warner; Audrina Patridge,0,0
11,7,False,Rick Fox,Kyle Massey,Kyle Massey,Kyle Massey; Rick Fox,Kyle Massey; Bristol Palin,0,0
11,8,False,Kurt Warner,Kurt Warner,Kurt Warner,Kurt Warner; Bristol Palin,Kurt Warner; Bristol Palin,1,1
11,9,False,Brandy,Kyle Massey,Brandy,Kyle Massey; Brandy,Brandy; Bristol Palin,0,1
11,10,False,,Kyle Massey,Bristol Palin,Kyle Massey; Bristol Palin,Bristol Palin; Kyle Massey,0,0
12,1,False,,Mike Catherwood,Mike Catherwood,Mike Catherwood; Wendy Williams,Mike Catherwood; Wendy Williams,0,0
12,2,False,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood; Wendy Williams,Mike Catherwood; Wendy Williams,1,1
12,3,False,Wendy Williams,Wendy Williams,Wendy Williams,Wendy Williams; Sugar Ray Leonard,Wendy Williams; Sugar Ray Leonard,1,1
12,4,False,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard; Kendra Wilkinson,Sugar Ray Leonard; Kendra Wilkinson,1,1
12,5,False,Petra Nemcova,Petra Nemcova,Petra Nemcova,Petra Nemcova; Kendra Wilkinson,Petra Nemcova; Kendra Wilkinson,1,1
12,6,False,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho; Kendra Wilkinson,Chris Jericho; Kendra Wilkinson,1,1
12,7,False,Kendra Wilkinson,Kirstie Alley,Kendra Wilkinson,Kirstie Alley; Kendra Wilkinson,Kendra Wilkinson; Kirstie Alley,0,1
12,8,False,Romeo,Romeo,Romeo,Romeo; Ralph Macchio,Romeo; Ralph Macchio,1,1
12,9,False,Ralph Macchio,Ralph Macchio,Ralph Macchio,Ralph Macchio; Kirstie Alley,Ralph Macchio; Kirstie Alley,1,1
12,10,False,,Kirstie Alley,Kirstie Alley,Kirstie Alley; Chelsea Kane,Kirstie Alley; Chelsea Kane,0,0
13,1,False,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron); Elisabetta Canalis,Metta World Peace (Ron); Elisabetta Canalis,1,1
13,2,False,Elisabetta Canalis,David Arquette,David Arquette,David Arquette; Carson Kressley,David Arquette; Carson Kressley,0,0
13,3,False,Kristin Cavallari,Carson Kressley,Kristin Cavallari,Carson Kressley; Kristin Cavallari,Kristin Cavallari; Nancy Grace,0,1
13,4,False,Chynna Phillips,David Arquette,Chaz Bono,David Arquette; Chaz Bono,Chaz Bono; Chynna Phillips,0,0
13,5,False,Carson Kressley,Chaz Bono,Carson Kressley,Chaz Bono; Carson Kressley,Carson Kressley; Chaz Bono,0,1
13,6,False,Chaz Bono,Chaz Bono,Chaz Bono,Chaz Bono; Hope Solo,Chaz Bono; Hope Solo,1,1
13,7,False,David Arquette,David Arquette,Nancy Grace,David Arquette; Nancy Grace,Nancy Grace; David Arquette,1,0
13,8,False,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace; Rob Kardashian,Nancy Grace; Rob Kardashian,1,1
13,9,False,Hope Solo,Hope Solo,Hope Solo,Hope Solo; J.R. Martinez,Hope Solo; Rob Kardashian,1,1
13,10,False,,Ricki Lake,Rob Kardashian,Ricki Lake; Rob Kardashian,Rob Kardashian; Ricki Lake,0,0
14,1,False,,Martina Navratilova,Martina Navratilova,Martina Navratilova; Melissa Gilbert,Martina Navratilova; Melissa Gilbert,0,0
14,2,False,Martina Navratilova,Martina Navratilova,Martina Navratilova,Martina Navratilova; Melissa Gilbert,Martina Navratilova; Gladys Knight,1,1
14,3,False,Jack Wagner,Jack Wagner,Jack Wagner,Jack Wagner; Melissa Gilbert,Jack Wagner; Melissa Gilbert,1,1
14,4,False,Sherri Sheperd,Sherri Sheperd,Gladys Knight,Sherri Sheperd; Gladys Knight,Gladys Knight; Sherri Sheperd,1,0
14,5,False,Gavin DeGraw,Melissa Gilbert,Gavin DeGraw,Melissa Gilbert; Gavin DeGraw,Gavin DeGraw; Melissa Gilbert,0,1
14,6,False,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight; Roshon Fegan,Gladys Knight; Roshon Fegan,1,1
14,7,False,Jaleel White,Jaleel White,Jaleel White,Jaleel White; Roshon Fegan,Jaleel White; Melissa Gilbert,1,1
14,8,False,Roshon Fegan; Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert; Maria Menounos,Melissa Gilbert; Roshon Fegan,0,0
14,9,False,Maria Menounos,William Levy,William Levy,William Levy; Donald Driver,William Levy; Donald Driver,0,0
14,10,False,,William Levy,William Levy,William Levy; Donald Driver,William Levy; Donald Driver,0,0
15,1,False,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson; Kirstie Alley,Pamela Anderson; Kirstie Alley,1,1
