strata_type,strata_label,weeks_with_elim,CBR_EMR,CBP_EMR,CBR_B2CR,CBP_B2CR,flip_rate
size,small,103,0.6555555555555556,0.6555555555555556,0.8461538461538461,0.9230769230769231,0.32038834951456313
size,mid,90,0.5211267605633803,0.5774647887323944,0.7894736842105263,1.0,0.37777777777777777
size,large,71,0.6808510638297872,0.5957446808510638,0.9583333333333334,0.7916666666666666,0.2535211267605634
stage,early,101,0.625,0.6125,0.9523809523809523,0.8095238095238095,0.27722772277227725
stage,mid,87,0.5588235294117647,0.5735294117647058,0.7368421052631579,0.9473684210526315,0.4482758620689655
stage,late,76,0.6666666666666666,0.6666666666666666,0.9375,0.9375,0.23684210526315788
