uncertainty_group,weeks_with_elim,CBR_EMR,CBP_EMR,CBR_B2CR,CBP_B2CR,flip_rate,flip_strength_mean,flip_strength_median,uncertainty_mean
low,64,0.7,0.8,0.8703703703703703,0.8888888888888888,0.25,0.875,0.0,0.02933367686448892
high,34,0.9117647058823529,0.9117647058823529,,,0.17647058823529413,2.3333333333333335,2.0,0.9197797054747158
