alpha_pop,beta,lambda_smooth,rho_pop,kappa_rank,EMR,B2CR,std_EMR,std_B2CR,score
0.6,1.2,0.5,0.3,0.4,0.6682692307692307,0.8035714285714286,0.20886692489509595,0.10584751899001042,0.7044488852818189
0.4,1.2,0.7,0.3,0.4,0.6538461538461539,0.8214285714285714,0.22372920445914024,0.10915385303994303,0.7043490568874544
0.8,0.8,0.5,0.2,0.4,0.6682692307692307,0.8035714285714286,0.2126272006265483,0.10584751899001042,0.7040728577086737
0.4,1.0,0.3,0.3,0.4,0.6298076923076923,0.8392857142857143,0.2222928316166412,0.11009779618493873,0.7013076405165451
0.8,0.8,0.3,0.1,0.4,0.6586538461538461,0.8035714285714286,0.2242351257152884,0.10584751899001042,0.6981043728921075
0.4,0.8,0.3,0.3,0.4,0.6586538461538461,0.8035714285714286,0.22940276018880013,0.10584751899001042,0.6975876094447562
0.8,1.0,0.7,0.1,0.4,0.6490384615384616,0.8035714285714286,0.20239231600393082,0.10584751899001042,0.6954809615555508
0.4,1.4,0.3,0.2,0.4,0.6538461538461539,0.8035714285714286,0.22006407191114435,0.12094442356451741,0.6946079416612251
0.8,1.2,0.7,0.2,0.4,0.6490384615384616,0.8035714285714286,0.21285843884204814,0.10584751899001042,0.6944343492717391
1.0,0.8,0.7,0.2,0.4,0.6586538461538461,0.8035714285714286,0.21309430298034696,0.15865117892556796,0.6939380891720458
1.0,0.8,0.7,0.1,0.4,0.6442307692307693,0.8035714285714286,0.2001303415031983,0.10584751899001042,0.693303312851778
0.4,1.4,0.3,0.1,0.4,0.6538461538461539,0.8035714285714286,0.23540625715535216,0.12094442356451741,0.6930737231368044
0.4,1.2,0.7,0.2,0.4,0.6538461538461539,0.8035714285714286,0.21383254205870086,0.14405563921734127,0.6929199730811871
1.0,0.8,0.7,0.3,0.4,0.6538461538461539,0.8035714285714286,0.21001947559993364,0.15865117892556796,0.691841725756241
0.4,1.0,0.7,0.3,0.4,0.6394230769230769,0.8035714285714286,0.20432308196284646,0.10584751899001042,0.690480192651967
0.8,1.0,0.5,0.1,0.4,0.6394230769230769,0.8035714285714286,0.20503190504768065,0.10584751899001042,0.6904093103434836
0.6,1.0,0.3,0.2,0.4,0.6682692307692307,0.7857142857142857,0.23010039650952277,0.13955023256575264,0.6900266953342307
0.8,0.8,0.5,0.1,0.4,0.6346153846153846,0.8035714285714286,0.1873629483633614,0.10584751899001042,0.6897723598580694
0.6,1.4,0.3,0.1,0.4,0.625,0.8214285714285714,0.21287734575852243,0.12486141350066188,0.6894404097883673
0.6,0.8,0.3,0.1,0.4,0.6634615384615384,0.7857142857142857,0.21244139191433084,0.13955023256575264,0.6893887496399037
0.4,1.0,0.5,0.3,0.4,0.6394230769230769,0.8035714285714286,0.21692460307378064,0.10584751899001042,0.6892200405408737
0.4,1.4,0.7,0.3,0.4,0.6634615384615384,0.7857142857142857,0.21520205813857893,0.13955023256575264,0.6891126830174789
0.8,0.8,0.3,0.2,0.4,0.6394230769230769,0.8035714285714286,0.23025962062613597,0.10584751899001042,0.6878865387856381
0.8,1.2,0.7,0.1,0.4,0.6298076923076923,0.8035714285714286,0.18505336704291475,0.10584751899001042,0.6875994718362679
0.6,1.4,0.3,0.2,0.4,0.625,0.8214285714285714,0.23276623400539276,0.12486141350066188,0.6874515209636802
1.0,1.0,0.3,0.3,0.4,0.6346153846153846,0.8035714285714286,0.21306029647518762,0.10584751899001042,0.6872026250468868
1.0,0.8,0.5,0.2,0.4,0.6442307692307693,0.8035714285714286,0.21593950342667087,0.15865117892556796,0.6864420306658751
0.4,1.0,0.3,0.2,0.4,0.6394230769230769,0.8035714285714286,0.2309486444157594,0.12094442356451741,0.6863079459492251
1.0,1.0,0.3,0.2,0.4,0.6586538461538461,0.7857142857142857,0.2276863839379566,0.13955023256575264,0.685460404283695
0.4,0.8,0.5,0.2,0.4,0.6586538461538461,0.7857142857142857,0.2303715117981841,0.13955023256575264,0.6851918914976722
0.8,1.0,0.3,0.3,0.4,0.6538461538461539,0.7857142857142857,0.2133880465506624,0.13955023256575264,0.6844863918685783
0.6,1.2,0.7,0.1,0.4,0.6346153846153846,0.8035714285714286,0.20610191324300717,0.14405563921734127,0.6840776513473718
0.4,1.4,0.3,0.3,0.4,0.6298076923076923,0.8035714285714286,0.20758056297715027,0.12094442356451741,0.6838370617853937
0.4,1.0,0.7,0.2,0.4,0.6538461538461539,0.7857142857142857,0.22105979839294695,0.13955023256575264,0.6837192166843498
1.0,1.0,0.5,0.1,0.4,0.6490384615384616,0.7857142857142857,0.19837249249702527,0.13955023256575264,0.6835841011200958
0.6,1.0,0.7,0.2,0.4,0.6586538461538461,0.7857142857142857,0.2038175945389408,0.1828004960589905,0.6835222568742728
0.4,1.2,0.5,0.3,0.4,0.6586538461538461,0.7857142857142857,0.2304273170190101,0.15648466356433008,0.6834928678757319
0.8,1.0,0.5,0.3,0.4,0.625,0.8035714285714286,0.2022932921821018,0.10584751899001042,0.6834716331685031
0.4,1.2,0.3,0.1,0.4,0.6538461538461539,0.7857142857142857,0.2161450655359427,0.1503817708771588,0.6831275361389095
1.0,0.8,0.3,0.2,0.4,0.6490384615384616,0.7857142857142857,0.20867062032349804,0.13955023256575264,0.6825542883374486
0.8,1.2,0.7,0.3,0.4,0.6490384615384616,0.7857142857142857,0.21182410237223742,0.13955023256575264,0.6822389401325746
0.6,1.2,0.7,0.2,0.4,0.6442307692307693,0.7857142857142857,0.18806848533814663,0.13955023256575264,0.6822106556821376
0.6,1.0,0.3,0.3,0.4,0.6490384615384616,0.7857142857142857,0.21324214715356055,0.13955023256575264,0.6820971356544423
0.6,1.4,0.7,0.2,0.4,0.6298076923076923,0.8035714285714286,0.2439588667372698,0.10584751899001042,0.6817089218668324
0.8,0.8,0.7,0.3,0.4,0.6634615384615384,0.7857142857142857,0.23529239583800549,0.19523738744304822,0.6815349337598067
0.8,0.8,0.5,0.3,0.4,0.6201923076923077,0.8035714285714286,0.20097592804456804,0.10584751899001042,0.6811995234284103
0.4,0.8,0.5,0.3,0.4,0.6490384615384616,0.7857142857142857,0.2263778509027988,0.13955023256575264,0.6807835652795184
1.0,1.4,0.3,0.3,0.4,0.6490384615384616,0.7857142857142857,0.22876535418031932,0.13955023256575264,0.6805448149517664
0.6,1.4,0.7,0.3,0.4,0.6201923076923077,0.8035714285714286,0.20986669644768158,0.10584751899001042,0.6803104465880989
0.6,1.4,0.3,0.3,0.4,0.6105769230769231,0.8214285714285714,0.2102363140667301,0.14671701232531933,0.6803074146135424
0.4,0.8,0.7,0.1,0.4,0.6490384615384616,0.7857142857142857,0.18945405625147685,0.1828004960589905,0.6801509183953269
1.0,0.8,0.5,0.1,0.4,0.6298076923076923,0.8035714285714286,0.21151421983828386,0.15865117892556796,0.6796730205631752
0.4,1.0,0.5,0.2,0.4,0.6394230769230769,0.7857142857142857,0.19530916652200703,0.13955023256575264,0.6790827414099053
1.0,1.2,0.3,0.1,0.4,0.6682692307692307,0.7678571428571429,0.21791957808078355,0.17768333673762315,0.6785028953313462
0.8,1.2,0.5,0.3,0.4,0.6442307692307693,0.7857142857142857,0.22555292948224306,0.13955023256575264,0.6784622112677279
0.6,1.2,0.5,0.2,0.4,0.6442307692307693,0.7857142857142857,0.22915032627719886,0.13955023256575264,0.6781024715882323
0.8,1.0,0.7,0.2,0.4,0.6394230769230769,0.7857142857142857,0.20556078558684338,0.13955023256575264,0.6780575795034217
0.8,0.8,0.3,0.3,0.4,0.6201923076923077,0.8035714285714286,0.23378465451518005,0.10584751899001042,0.677918650781349
1.0,0.8,0.3,0.3,0.4,0.6346153846153846,0.7857142857142857,0.18962720800562755,0.13955023256575264,0.6772470911076971
0.4,0.8,0.3,0.1,0.4,0.6634615384615384,0.7678571428571429,0.2421334433026325,0.14346100282750748,0.6770998960463267
0.6,0.8,0.3,0.3,0.4,0.6346153846153846,0.7857142857142857,0.19933976051859878,0.13955023256575264,0.6762758358563999
0.6,1.0,0.7,0.3,0.4,0.6394230769230769,0.7857142857142857,0.1821387211632143,0.1828004960589905,0.6760747595964609
0.4,1.2,0.5,0.2,0.4,0.6442307692307693,0.7857142857142857,0.23259100945065184,0.15648466356433008,0.6760649601710292
1.0,0.8,0.5,0.3,0.4,0.6490384615384616,0.7857142857142857,0.21914571179054218,0.19523738744304822,0.6759380637030146
0.4,1.2,0.3,0.2,0.4,0.6490384615384616,0.7857142857142857,0.2666125380149041,0.1503817708771588,0.6756769427371673
0.8,1.0,0.3,0.2,0.4,0.6538461538461539,0.7678571428571429,0.21120041753354882,0.14346100282750748,0.6753855063155427
0.4,1.4,0.5,0.3,0.4,0.6201923076923077,0.8035714285714286,0.20522469602810292,0.1607115362076692,0.6752882449082909
0.8,1.2,0.3,0.2,0.4,0.6538461538461539,0.7678571428571429,0.21474681827125894,0.14346100282750748,0.6750308662417718
0.8,1.2,0.5,0.1,0.4,0.6538461538461539,0.7678571428571429,0.2160533099420307,0.14346100282750748,0.6749002170746946
0.4,1.4,0.5,0.2,0.4,0.6442307692307693,0.7857142857142857,0.23635675653514382,0.16612153820237482,0.6747246979987755
0.4,1.0,0.7,0.1,0.4,0.6346153846153846,0.7857142857142857,0.21589592005352926,0.13955023256575264,0.6746202199029069
0.4,1.4,0.7,0.2,0.4,0.6298076923076923,0.7857142857142857,0.19190836051714827,0.13955023256575264,0.674615129702699
0.6,0.8,0.5,0.3,0.4,0.6490384615384616,0.7857142857142857,0.24921331374093972,0.1828004960589905,0.6741749926463806
0.4,1.2,0.7,0.1,0.4,0.6346153846153846,0.7857142857142857,0.21012556099034146,0.1503817708771588,0.674114101978085
0.4,0.8,0.7,0.2,0.4,0.6394230769230769,0.7857142857142857,0.20413341187644454,0.1828004960589905,0.6738752905251378
0.6,1.0,0.7,0.1,0.4,0.6442307692307693,0.7857142857142857,0.23180688008689432,0.1828004960589905,0.673511789857939
0.4,1.0,0.5,0.1,0.4,0.6394230769230769,0.7857142857142857,0.2528628393519316,0.13955023256575264,0.6733273741269129
0.8,1.0,0.5,0.2,0.4,0.625,0.7857142857142857,0.20866007688938992,0.11472065784118174,0.6730190693840856
1.0,1.0,0.3,0.1,0.4,0.6586538461538461,0.7678571428571429,0.2268376878819403,0.17768333673762315,0.6728033920435382
0.4,1.2,0.5,0.1,0.4,0.6346153846153846,0.7857142857142857,0.2179991396302066,0.15648466356433008,0.6727164548453815
0.8,1.0,0.7,0.3,0.4,0.625,0.7857142857142857,0.189319726905728,0.13955023256575264,0.6724701469099947
0.4,1.2,0.3,0.3,0.4,0.6298076923076923,0.7857142857142857,0.20275953830110607,0.1503817708771588,0.6724468580931625
1.0,0.8,0.3,0.1,0.4,0.625,0.7857142857142857,0.19036922216513022,0.13955023256575264,0.6723651973840545
0.6,0.8,0.5,0.2,0.4,0.625,0.7857142857142857,0.2156911610303273,0.11472065784118174,0.6723159609699919
0.8,1.4,0.3,0.2,0.4,0.6490384615384616,0.7678571428571429,0.21887214043225056,0.14346100282750748,0.6722144878718265
0.8,1.4,0.5,0.3,0.4,0.6298076923076923,0.7857142857142857,0.21722496975025712,0.13955023256575264,0.6720834687793881
1.0,1.2,0.5,0.1,0.4,0.6298076923076923,0.7857142857142857,0.2188056772296904,0.13955023256575264,0.6719253980314447
0.8,1.2,0.5,0.2,0.4,0.6346153846153846,0.7857142857142857,0.24482318545806409,0.13955023256575264,0.6717274933624534
0.4,0.8,0.3,0.2,0.4,0.6346153846153846,0.7857142857142857,0.24574782369037237,0.13955023256575264,0.6716350295392226
0.4,0.8,0.5,0.1,0.4,0.6298076923076923,0.7857142857142857,0.2225754023373835,0.13955023256575264,0.6715484255206754
0.8,1.4,0.7,0.3,0.4,0.6298076923076923,0.7857142857142857,0.22352054735462087,0.13955023256575264,0.6714539110189517
0.6,1.4,0.5,0.3,0.4,0.6298076923076923,0.7857142857142857,0.22352209551142413,0.13955023256575264,0.6714537562032714
0.4,1.4,0.7,0.1,0.4,0.6298076923076923,0.7857142857142857,0.22656811295382007,0.13955023256575264,0.6711491544590318
0.6,1.0,0.5,0.3,0.4,0.6346153846153846,0.7857142857142857,0.2526005844436335,0.13955023256575264,0.6709497534638965
0.6,1.2,0.3,0.3,0.4,0.625,0.7857142857142857,0.23195702764892281,0.11472065784118174,0.6706893743081324
0.6,1.4,0.5,0.1,0.4,0.6442307692307693,0.7678571428571429,0.21241579669328875,0.14346100282750748,0.6704562760918765
1.0,1.2,0.7,0.3,0.4,0.6201923076923077,0.7857142857142857,0.21247367668409708,0.11472065784118174,0.6702338632507688
0.4,1.0,0.3,0.1,0.4,0.625,0.7857142857142857,0.2396764887569648,0.11472065784118174,0.6699174281973281
0.6,1.2,0.7,0.3,0.4,0.6201923076923077,0.7857142857142857,0.19275355002857192,0.13955023256575264,0.6697229184438643
0.8,0.8,0.7,0.1,0.4,0.6346153846153846,0.7857142857142857,0.2104299426710237,0.19523738744304822,0.669598102153428
0.8,1.0,0.3,0.1,0.4,0.6490384615384616,0.7678571428571429,0.21300278885255447,0.17768333673762315,0.6693791896387845
0.6,1.2,0.3,0.2,0.4,0.6153846153846154,0.7857142857142857,0.20607824232112953,0.11472065784118174,0.6684695605332194
0.4,0.8,0.7,0.3,0.4,0.6298076923076923,0.7857142857142857,0.2147334497567647,0.1828004960589905,0.6680075944294136
0.6,1.0,0.3,0.1,0.4,0.6394230769230769,0.7678571428571429,0.22789018987608392,0.14346100282750748,0.6665049906197508
0.8,0.8,0.7,0.2,0.4,0.6298076923076923,0.7857142857142857,0.22138710194381697,0.19523738744304822,0.6660985400723025
0.8,1.2,0.3,0.3,0.4,0.6201923076923077,0.7857142857142857,0.2330205157480047,0.13955023256575264,0.665696221871921
1.0,1.4,0.5,0.3,0.4,0.6153846153846154,0.7857142857142857,0.20978913614370046,0.13955023256575264,0.6656155136785051
0.6,0.8,0.3,0.2,0.4,0.6346153846153846,0.7678571428571429,0.22018671070470827,0.14346100282750748,0.6648714923830421
0.8,1.4,0.3,0.3,0.4,0.6153846153846154,0.7857142857142857,0.22588170176882036,0.13955023256575264,0.6640062571159931
0.6,0.8,0.7,0.3,0.4,0.6394230769230769,0.7678571428571429,0.22273605769895066,0.17768333673762315,0.6635981704464525
0.6,0.8,0.7,0.2,0.4,0.6346153846153846,0.7678571428571429,0.212812897858527,0.17768333673762315,0.6621866402766486
1.0,1.4,0.3,0.1,0.4,0.6490384615384616,0.75,0.19614115140594343,0.17840353119061184,0.6620647625095754
0.6,1.0,0.5,0.2,0.4,0.6346153846153846,0.7678571428571429,0.21797206243017064,0.17768333673762315,0.6616707238194843
1.0,1.4,0.5,0.2,0.4,0.625,0.7678571428571429,0.20544980198198443,0.14346100282750748,0.6615374909476223
1.0,1.4,0.3,0.2,0.4,0.6490384615384616,0.75,0.2026138746825404,0.17840353119061184,0.6614174901819156
0.8,1.4,0.7,0.2,0.4,0.6346153846153846,0.7678571428571429,0.22315548793384274,0.17768333673762315,0.6611523812691171
0.8,1.4,0.7,0.1,0.4,0.6586538461538461,0.75,0.2533862100710038,0.17840353119061184,0.6611479489507616
0.6,1.4,0.5,0.2,0.4,0.625,0.7678571428571429,0.21068549358536115,0.14346100282750748,0.6610139217872846
0.6,1.2,0.5,0.1,0.4,0.625,0.7678571428571429,0.2110520847149038,0.14346100282750748,0.6609772626743303
0.4,1.4,0.5,0.1,0.4,0.6153846153846154,0.7857142857142857,0.23263194787215816,0.16612153820237482,0.6606741019419972
0.6,1.4,0.7,0.1,0.4,0.6298076923076923,0.7678571428571429,0.2401270109799459,0.14346100282750748,0.6604736162016723
0.6,0.8,0.5,0.1,0.4,0.6538461538461539,0.75,0.23789267662481153,0.17840353119061184,0.6602934561415346
0.6,0.8,0.7,0.1,0.4,0.625,0.7678571428571429,0.19968303677271096,0.17768333673762315,0.658691934077538
1.0,1.0,0.7,0.2,0.4,0.6298076923076923,0.7678571428571429,0.22584144404291998,0.17768333673762315,0.6584799395043633
1.0,1.4,0.7,0.3,0.4,0.625,0.7678571428571429,0.2063010212126604,0.17768333673762315,0.6580301356335431
1.0,1.2,0.3,0.3,0.4,0.6057692307692307,0.7857142857142857,0.23793650764599844,0.13955023256575264,0.6579930842205831
